account_id,customer_id,account_type,currency,balance,opened_date,status,branch_code,interest_rate,last_activity_date
A0024,C0007,MONEY_MARKET,ZAR,2301201.42,2025-05-10,ACTIVE,BR516,1.15,2025-07-23
A0025,C0309,CHEQUE,ZAR,55092.83,2024-07-08,ACTIVE,BR234,0.0,2025-01-12
A0026,C0096,FIXED_DEPOSIT,ZAR,1299412.13,2017-08-13,ACTIVE,BR450,2.67,2024-03-16
A0027,C0085,FIXED_DEPOSIT,ZAR,292412.99,2024-06-20,ACTIVE,BR780,9.27,2026-02-07
A0028,C0760,FIXED_DEPOSIT,ZAR,1648352.75,2019-06-03,ACTIVE,BR585,11.1,2023-08-20
A0029,C0214,CREDIT,ZAR,-32559.71,2016-04-02,ACTIVE,BR740,4.74,2017-04-23
A0030,C0134,CHEQUE,ZAR,91416.58,2026-05-08,ACTIVE,BR576,0.0,2026-07-23
A0031,C0994,CREDIT,ZAR,-2932.54,2016-04-08,ACTIVE,BR453,10.43,2020-04-17
A0032,C0360,CREDIT,ZAR,-88805.32,2022-01-21,ACTIVE,BR208,1.78,2025-10-18
A0033,C0979,SAVINGS,ZAR,465077.41,2019-08-02,ACTIVE,BR961,1.59,2024-05-27
A0034,C0415,CREDIT,ZAR,-663.23,2025-11-16,ACTIVE,BR850,7.78,2026-08-17
A0035,C0491,MONEY_MARKET,ZAR,2802212.86,2018-11-11,ACTIVE,BR626,8.59,2020-04-13
A0036,C0389,CHEQUE,ZAR,199821.09,2021-03-13,CLOSED,BR612,0.0,2024-02-22
A0037,C0468,FIXED_DEPOSIT,ZAR,525047.63,2019-07-01,ACTIVE,BR336,5.76,2025-09-30
A0038,C0113,SAVINGS,ZAR,285986.34,2022-05-01,ACTIVE,BR734,10.66,2023-01-23
A0039,C0308,SAVINGS,ZAR,21901.69,2020-11-25,ACTIVE,BR854,9.21,2023-02-28
A0040,C0986,MONEY_MARKET,ZAR,3665293.17,2022-10-26,ACTIVE,BR302,9.93,2024-02-09
A0041,C0276,FIXED_DEPOSIT,ZAR,1024624.4,2022-01-22,ACTIVE,BR140,6.55,2022-09-19
A0042,C0989,CHEQUE,ZAR,103195.73,2022-06-09,ACTIVE,BR542,0.0,2023-06-27
A0043,C0877,CHEQUE,ZAR,-3005.69,2024-01-05,ACTIVE,BR270,0.0,2024-07-27
A0044,C0962,MONEY_MARKET,ZAR,3725590.98,2023-09-12,DORMANT,BR467,11.33,2023-09-15
A0045,C0224,CHEQUE,ZAR,-4594.44,2024-07-15,ACTIVE,BR661,0.0,2025-12-28
A0046,C0813,MONEY_MARKET,ZAR,1493869.51,2018-10-15,ACTIVE,BR512,5.94,2025-06-11
A0047,C0005,SAVINGS,ZAR,1779.01,2022-11-12,ACTIVE,BR886,9.84,2023-05-15
A0048,C0122,SAVINGS,ZAR,203156.28,2018-10-29,ACTIVE,BR693,11.96,2019-11-11
A0049,C0772,MONEY_MARKET,ZAR,3719843.48,2022-05-14,ACTIVE,BR340,2.17,2025-02-19
A0050,C0468,CHEQUE,ZAR,147143.73,2026-06-21,ACTIVE,BR644,0.0,2026-09-02
A0051,C0734,MONEY_MARKET,ZAR,3107990.79,2024-04-19,ACTIVE,BR654,10.04,2025-03-29
A0052,C0863,FIXED_DEPOSIT,ZAR,1902400.21,2022-02-03,CLOSED,BR987,11.42,2024-06-22
A0053,C0398,MONEY_MARKET,ZAR,1262472.06,2018-11-22,ACTIVE,BR711,10.29,2025-07-02
A0054,C0701,CREDIT,ZAR,-78088.19,2019-02-09,ACTIVE,BR199,9.18,2021-11-05
A0055,C0952,MONEY_MARKET,ZAR,525800.4,2016-12-03,DORMANT,BR425,1.61,2023-09-12
A0056,C0379,CREDIT,ZAR,-30569.71,2023-03-30,ACTIVE,BR244,9.61,2024-12-21
A0057,C0194,CHEQUE,ZAR,125364.0,2016-03-15,DORMANT,BR780,0.0,2016-05-03
A0058,C0209,SAVINGS,ZAR,162038.57,2020-01-26,ACTIVE,BR522,5.43,2025-01-27
A0059,C0967,FIXED_DEPOSIT,ZAR,1153760.75,2020-03-16,ACTIVE,BR390,7.48,2023-04-09
A0060,C0453,MONEY_MARKET,ZAR,783935.73,2020-11-04,ACTIVE,BR159,7.11,2023-11-02
A0061,C0143,SAVINGS,ZAR,353199.35,2025-01-31,ACTIVE,BR193,8.76,2025-07-05
A0062,C0228,CHEQUE,ZAR,100234.48,2023-04-27,ACTIVE,BR885,0.0,2024-12-08
A0063,C0985,SAVINGS,ZAR,445352.39,2017-09-03,ACTIVE,BR643,4.66,2018-06-16
A0064,C0706,MONEY_MARKET,ZAR,1657570.28,2018-12-09,ACTIVE,BR332,9.98,2022-12-16
A0065,C0320,CHEQUE,ZAR,27752.73,2020-08-12,CLOSED,BR452,0.0,2025-09-16
A0066,C0302,SAVINGS,ZAR,43686.24,2016-02-04,ACTIVE,BR890,7.22,2017-08-28
A0067,C0340,CREDIT,ZAR,-89281.71,2023-11-12,ACTIVE,BR528,11.76,2024-11-07
A0068,C0579,FIXED_DEPOSIT,ZAR,45618.85,2019-11-18,ACTIVE,BR507,1.87,2020-03-26
A0069,C0617,SAVINGS,ZAR,86529.23,2021-03-18,ACTIVE,BR536,5.4,2021-07-06
A0070,C0576,SAVINGS,ZAR,121227.25,2017-06-07,ACTIVE,BR188,0.86,2025-07-18
A0071,C0926,CHEQUE,ZAR,21066.22,2018-04-01,ACTIVE,BR742,0.0,2023-01-14
A0072,C0092,SAVINGS,ZAR,62634.21,2019-12-08,ACTIVE,BR370,11.86,2024-02-17
A0073,C0754,SAVINGS,ZAR,214748.67,2021-07-31,ACTIVE,BR329,11.97,2025-11-27
A0074,C0391,FIXED_DEPOSIT,ZAR,1453558.13,2019-07-02,FROZEN,BR412,8.36,2021-02-12
A0075,C0225,MONEY_MARKET,ZAR,4268044.65,2020-09-12,ACTIVE,BR945,12.1,2021-11-24
A0076,C0341,CREDIT,ZAR,-76340.22,2016-12-26,ACTIVE,BR836,9.42,2024-01-02
A0077,C0317,CHEQUE,ZAR,95822.71,2024-03-16,ACTIVE,BR340,0.0,2025-03-09
A0078,C0086,CREDIT,ZAR,-50883.1,2020-09-23,ACTIVE,BR273,2.46,2024-04-16
A0079,C0696,SAVINGS,ZAR,63196.18,2024-05-27,ACTIVE,BR287,5.23,2024-05-30
A0080,C0868,CREDIT,ZAR,-58169.45,2020-05-24,DORMANT,BR459,11.68,2024-11-18
A0081,C0134,CHEQUE,ZAR,51592.7,2025-08-06,ACTIVE,BR736,0.0,2026-03-20
A0082,C0559,MONEY_MARKET,ZAR,2237889.29,2025-07-23,DORMANT,BR376,9.98,2025-12-20
A0083,C0850,MONEY_MARKET,ZAR,448572.02,2021-03-28,ACTIVE,BR161,8.17,2023-04-07
A0084,C0423,SAVINGS,ZAR,487486.12,2016-05-29,ACTIVE,BR622,4.14,2022-10-01
A0085,C0997,MONEY_MARKET,ZAR,770593.39,2019-05-19,ACTIVE,BR984,3.76,2021-09-23
A0086,C0315,FIXED_DEPOSIT,ZAR,1454855.82,2016-08-07,DORMANT,BR871,5.04,2018-04-23
A0087,C0089,SAVINGS,ZAR,168205.58,2017-09-09,ACTIVE,BR963,3.53,2025-12-19
A0088,C0366,FIXED_DEPOSIT,ZAR,520988.04,2017-11-01,ACTIVE,BR117,12.14,2025-03-27
A0089,C0290,FIXED_DEPOSIT,ZAR,1289208.0,2024-12-25,ACTIVE,BR226,1.71,2026-09-13
A0090,C0201,MONEY_MARKET,ZAR,2756174.8,2024-09-05,ACTIVE,BR250,6.06,2024-09-07
A0091,C0315,MONEY_MARKET,ZAR,1165469.16,2018-08-14,ACTIVE,BR907,3.95,2024-04-03
A0092,C0067,CHEQUE,ZAR,103288.19,2024-02-13,ACTIVE,BR920,0.0,2025-04-17
A0093,C0415,CREDIT,ZAR,-59484.84,2016-04-05,DORMANT,BR118,4.67,2017-05-12
A0094,C0187,SAVINGS,ZAR,45644.9,2016-06-28,DORMANT,BR479,4.23,2023-11-08
A0095,C0822,FIXED_DEPOSIT,ZAR,1455152.68,2016-12-02,ACTIVE,BR130,1.92,2021-06-03
A0096,C0626,SAVINGS,ZAR,372012.69,2019-06-27,ACTIVE,BR104,10.39,2022-03-04
A0097,C0103,MONEY_MARKET,ZAR,3581973.36,2017-08-05,ACTIVE,BR617,5.12,2018-04-01
A0098,C0064,CHEQUE,ZAR,199898.02,2017-10-30,ACTIVE,BR708,0.0,2022-11-02
A0099,C0607,CREDIT,ZAR,-37710.24,2025-04-14,CLOSED,BR150,1.46,2026-01-21
A0100,C0014,SAVINGS,ZAR,105007.32,2026-07-10,CLOSED,BR586,10.26,2026-08-09
A0101,C0707,SAVINGS,ZAR,248241.36,2024-05-30,ACTIVE,BR942,6.1,2026-03-28
A0102,C0047,CREDIT,ZAR,-21932.57,2020-08-26,ACTIVE,BR745,9.59,2022-05-25
A0103,C0733,FIXED_DEPOSIT,ZAR,1237509.64,2023-09-01,ACTIVE,BR152,9.16,2025-02-11
A0104,C0664,SAVINGS,ZAR,142519.18,2022-07-11,FROZEN,BR577,10.36,2024-05-14
A0105,C0010,FIXED_DEPOSIT,ZAR,1261085.77,2026-05-01,ACTIVE,BR548,4.59,2026-07-26
A0106,C0724,CREDIT,ZAR,-88062.01,2017-11-09,ACTIVE,BR270,7.2,2025-06-08
A0107,C0763,MONEY_MARKET,ZAR,67142.42,2021-11-10,ACTIVE,BR579,7.68,2022-03-05
A0108,C0115,CHEQUE,ZAR,188826.15,2021-03-31,ACTIVE,BR128,0.0,2024-05-05
A0109,C0798,CREDIT,ZAR,-38443.05,2017-03-30,FROZEN,BR258,2.06,2019-07-08
A0110,C0777,CREDIT,ZAR,-41192.14,2025-11-09,FROZEN,BR357,6.27,2026-01-09
A0111,C0497,CREDIT,ZAR,-66115.2,2018-03-21,ACTIVE,BR558,11.04,2024-06-29
A0112,C0925,SAVINGS,ZAR,3586.36,2026-02-02,ACTIVE,BR660,0.68,2026-08-06
A0113,C0804,CREDIT,ZAR,-64810.2,2020-02-09,DORMANT,BR612,0.88,2022-01-04
A0114,C0889,FIXED_DEPOSIT,ZAR,593388.85,2023-07-03,ACTIVE,BR238,3.06,2025-09-19
A0115,C0994,CHEQUE,ZAR,163969.3,2017-10-26,ACTIVE,BR138,0.0,2026-09-02
A0116,C0685,MONEY_MARKET,ZAR,3828920.87,2022-10-03,ACTIVE,BR967,5.97,2024-12-26
A0117,C0399,MONEY_MARKET,ZAR,4014192.75,2016-03-22,ACTIVE,BR465,1.3,2023-03-04
A0118,C0592,SAVINGS,ZAR,424867.26,2018-10-04,CLOSED,BR473,8.86,2020-05-07
A0119,C0057,SAVINGS,ZAR,367926.36,2019-08-11,DORMANT,BR405,10.38,2023-12-18
A0120,C0492,SAVINGS,ZAR,463879.05,2016-01-19,ACTIVE,BR472,1.06,2026-08-08
A0121,C0265,CREDIT,ZAR,-10721.2,2024-08-06,ACTIVE,BR968,3.04,2026-09-11
A0122,C0552,SAVINGS,ZAR,432864.7,2022-12-14,ACTIVE,BR395,7.0,2024-08-04
A0123,C0226,CREDIT,ZAR,-97641.49,2016-09-27,ACTIVE,BR209,9.36,2023-06-23
A0124,C0016,SAVINGS,ZAR,158264.77,2025-02-16,ACTIVE,BR250,1.71,2025-04-29
A0125,C0737,MONEY_MARKET,ZAR,1855405.64,2021-05-04,DORMANT,BR663,12.37,2025-04-03
A0126,C0731,FIXED_DEPOSIT,ZAR,1590433.96,2020-07-13,ACTIVE,BR988,11.73,2024-03-25
A0127,C0564,CHEQUE,ZAR,13596.62,2019-06-23,ACTIVE,BR117,0.0,2020-10-20
A0128,C0511,FIXED_DEPOSIT,ZAR,847016.12,2026-03-24,ACTIVE,BR259,6.39,2026-08-20
A0129,C0983,MONEY_MARKET,ZAR,655283.44,2025-08-05,ACTIVE,BR665,4.54,2026-08-21
A0130,C0560,SAVINGS,ZAR,385237.16,2017-07-14,CLOSED,BR604,4.45,2018-08-21
A0131,C0607,CHEQUE,ZAR,71283.78,2018-08-17,ACTIVE,BR618,0.0,2019-09-24
A0132,C0266,FIXED_DEPOSIT,ZAR,317981.31,2020-01-23,DORMANT,BR754,1.05,2025-03-28
A0133,C0752,CHEQUE,ZAR,73587.24,2018-07-19,ACTIVE,BR905,0.0,2021-10-29
A0134,C0756,MONEY_MARKET,ZAR,4220750.37,2024-07-03,ACTIVE,BR386,5.57,2025-10-19
A0135,C0038,MONEY_MARKET,ZAR,1822610.07,2017-08-01,ACTIVE,BR127,6.03,2018-04-08
A0136,C0126,CREDIT,ZAR,-63834.62,2021-03-14,DORMANT,BR872,8.33,2024-03-06
A0137,C0681,CHEQUE,ZAR,143145.32,2021-05-24,ACTIVE,BR598,0.0,2023-03-06
A0138,C0543,FIXED_DEPOSIT,ZAR,41732.03,2018-07-23,ACTIVE,BR552,4.06,2019-05-17
A0139,C0867,FIXED_DEPOSIT,ZAR,655392.07,2021-08-23,ACTIVE,BR285,5.1,2022-07-20
A0140,C0341,CREDIT,ZAR,-74043.98,2017-12-08,ACTIVE,BR801,6.84,2019-08-04
A0141,C0569,MONEY_MARKET,ZAR,2605162.36,2018-01-31,ACTIVE,BR146,5.88,2022-11-21
A0142,C0011,FIXED_DEPOSIT,ZAR,896185.91,2017-07-11,DORMANT,BR799,2.98,2022-11-20
A0143,C0855,SAVINGS,ZAR,353232.77,2025-08-22,CLOSED,BR313,9.22,2026-03-15
A0144,C0709,MONEY_MARKET,ZAR,734897.62,2020-09-06,ACTIVE,BR323,11.22,2025-07-08
A0145,C0487,CREDIT,ZAR,-39261.85,2025-05-16,ACTIVE,BR787,8.83,2026-06-28
A0146,C0941,FIXED_DEPOSIT,ZAR,1872891.77,2021-10-18,FROZEN,BR705,8.65,2022-10-14
A0147,C0343,SAVINGS,ZAR,390108.03,2023-10-13,ACTIVE,BR365,0.57,2023-12-04
A0148,C0855,CREDIT,ZAR,-39601.59,2026-07-31,ACTIVE,BR304,7.43,2026-08-05
A0149,C0875,FIXED_DEPOSIT,ZAR,904250.35,2022-09-07,CLOSED,BR895,0.61,2023-10-04
A0150,C0462,FIXED_DEPOSIT,ZAR,124968.28,2020-08-12,ACTIVE,BR709,11.08,2026-03-21
A0151,C0261,FIXED_DEPOSIT,ZAR,325982.59,2019-11-11,DORMANT,BR700,8.95,2020-03-03
A0152,C0801,CHEQUE,ZAR,103028.59,2025-04-27,ACTIVE,BR285,0.0,2025-12-27
A0153,C0413,CHEQUE,ZAR,148663.73,2025-08-24,ACTIVE,BR846,0.0,2025-12-07
A0154,C0724,CHEQUE,ZAR,31093.06,2016-09-01,CLOSED,BR250,0.0,2022-01-27
A0155,C0780,SAVINGS,ZAR,37598.13,2017-03-11,ACTIVE,BR479,8.31,2022-09-08
A0156,C0124,MONEY_MARKET,ZAR,4845124.43,2022-10-21,ACTIVE,BR268,1.19,2024-06-15
A0157,C0905,CHEQUE,ZAR,106355.04,2022-12-01,ACTIVE,BR374,0.0,2026-01-05
A0158,C0567,MONEY_MARKET,ZAR,1201810.33,2022-06-21,ACTIVE,BR206,10.53,2025-09-17
A0159,C0599,SAVINGS,ZAR,428253.3,2018-04-29,ACTIVE,BR130,11.28,2026-09-13
A0160,C0814,MONEY_MARKET,ZAR,2770485.58,2022-05-18,ACTIVE,BR372,2.71,2024-08-09
A0161,C0849,FIXED_DEPOSIT,ZAR,164090.01,2021-07-22,ACTIVE,BR125,10.92,2024-01-30
A0162,C0909,MONEY_MARKET,ZAR,3809392.4,2025-11-27,CLOSED,BR925,12.47,2026-06-19
A0163,C0909,CHEQUE,ZAR,154599.14,2020-12-30,DORMANT,BR801,0.0,2021-02-12
A0164,C0598,SAVINGS,ZAR,99222.43,2019-04-07,ACTIVE,BR955,6.01,2022-02-09
A0165,C0592,FIXED_DEPOSIT,ZAR,455514.75,2020-03-23,ACTIVE,BR927,5.79,2026-07-16
A0166,C0455,FIXED_DEPOSIT,ZAR,872130.17,2024-10-10,ACTIVE,BR668,0.56,2025-05-25
A0167,C0760,CREDIT,ZAR,-60230.15,2016-05-13,CLOSED,BR366,1.23,2026-03-30
A0168,C0747,FIXED_DEPOSIT,ZAR,1229368.85,2022-11-27,FROZEN,BR432,1.8,2026-04-16
A0169,C0620,CHEQUE,ZAR,41097.6,2024-04-11,ACTIVE,BR261,0.0,2026-05-27
A0170,C0554,MONEY_MARKET,ZAR,4312835.99,2018-01-08,ACTIVE,BR686,1.91,2022-05-14
A0171,C0668,CHEQUE,ZAR,4790.39,2019-11-26,FROZEN,BR676,0.0,2024-09-18
A0172,C0851,SAVINGS,ZAR,215280.5,2017-05-28,ACTIVE,BR504,8.25,2026-08-24
A0173,C0884,CHEQUE,ZAR,29071.91,2021-02-01,ACTIVE,BR464,0.0,2023-05-23
A0174,C0272,CREDIT,ZAR,-37657.13,2021-06-26,ACTIVE,BR482,0.78,2025-07-15
A0175,C0880,SAVINGS,ZAR,273111.18,2021-09-02,ACTIVE,BR102,5.52,2024-06-12
A0176,C0423,FIXED_DEPOSIT,ZAR,1694510.18,2024-06-13,ACTIVE,BR145,7.05,2026-04-25
A0177,C0983,SAVINGS,ZAR,421218.09,2022-05-03,ACTIVE,BR147,2.49,2026-08-30
A0178,C0381,SAVINGS,ZAR,388337.09,2026-02-20,CLOSED,BR933,3.36,2026-02-28
A0179,C0556,FIXED_DEPOSIT,ZAR,1149120.41,2018-11-27,ACTIVE,BR330,2.58,2020-08-30
A0180,C0254,FIXED_DEPOSIT,ZAR,420517.04,2018-02-27,ACTIVE,BR271,3.44,2018-11-29
A0181,C0830,SAVINGS,ZAR,187182.35,2017-09-22,ACTIVE,BR439,4.63,2018-05-23
A0182,C0906,SAVINGS,ZAR,364719.77,2022-12-07,FROZEN,BR390,4.44,2023-02-13
A0183,C0415,CHEQUE,ZAR,114083.53,2025-08-04,DORMANT,BR927,0.0,2026-05-17
A0184,C0803,FIXED_DEPOSIT,ZAR,424220.98,2023-10-18,ACTIVE,BR894,3.45,2024-09-14
A0185,C0253,FIXED_DEPOSIT,ZAR,794287.35,2025-07-12,ACTIVE,BR536,2.09,2026-08-31
A0186,C0356,CREDIT,ZAR,-43566.94,2016-04-19,ACTIVE,BR760,3.27,2017-09-18
A0187,C0277,FIXED_DEPOSIT,ZAR,190027.08,2024-06-09,DORMANT,BR158,5.83,2025-05-16
A0188,C0321,CREDIT,ZAR,-9232.65,2020-05-27,ACTIVE,BR729,2.11,2021-01-13
A0189,C0249,SAVINGS,ZAR,483493.73,2017-08-07,ACTIVE,BR177,6.27,2021-01-23
A0190,C0285,CREDIT,ZAR,-83994.69,2020-03-02,CLOSED,BR493,2.69,2023-03-05
A0191,C0209,SAVINGS,ZAR,450853.35,2022-05-08,ACTIVE,BR915,1.67,2023-02-03
A0192,C0458,CHEQUE,ZAR,10582.77,2020-06-08,ACTIVE,BR593,0.0,2024-08-11
A0193,C0411,CHEQUE,ZAR,21262.31,2024-02-07,ACTIVE,BR380,0.0,2025-06-05
A0194,C0684,FIXED_DEPOSIT,ZAR,1707563.61,2017-09-11,ACTIVE,BR508,3.52,2018-11-06
A0195,C0027,CHEQUE,ZAR,177523.03,2023-11-12,ACTIVE,BR559,0.0,2025-02-22
A0196,C0585,SAVINGS,ZAR,296586.44,2016-01-19,ACTIVE,BR645,11.33,2019-08-02
A0197,C0063,CHEQUE,ZAR,34165.63,2019-01-12,ACTIVE,BR164,0.0,2022-12-31
A0198,C0340,CHEQUE,ZAR,67698.28,2025-08-23,ACTIVE,BR377,0.0,2025-12-08
A0199,C0596,CHEQUE,ZAR,126168.69,2017-02-15,ACTIVE,BR782,0.0,2026-07-24
A0200,C0872,SAVINGS,ZAR,220864.14,2021-10-20,CLOSED,BR572,8.15,2023-04-07
A0201,C0998,MONEY_MARKET,ZAR,677906.53,2022-10-15,ACTIVE,BR357,10.82,2023-08-25
A0202,C0559,SAVINGS,ZAR,118209.87,2021-08-17,DORMANT,BR743,10.07,2023-06-06
A0203,C0113,CREDIT,ZAR,-40929.92,2024-11-14,ACTIVE,BR107,4.13,2026-05-23
A0204,C0043,MONEY_MARKET,ZAR,2185539.19,2021-07-10,ACTIVE,BR949,7.39,2022-09-10
A0205,C0175,CHEQUE,ZAR,115726.9,2024-06-29,FROZEN,BR540,0.0,2025-06-26
A0206,C0894,SAVINGS,ZAR,308793.86,2020-01-06,ACTIVE,BR448,6.11,2026-02-06
A0207,C0282,FIXED_DEPOSIT,ZAR,124086.81,2020-11-09,ACTIVE,BR751,6.54,2024-11-19
A0208,C0197,CREDIT,ZAR,-17045.77,2021-12-12,ACTIVE,BR893,4.35,2024-05-25
A0209,C0415,MONEY_MARKET,ZAR,3953253.75,2017-07-06,ACTIVE,BR620,3.69,2022-12-02
A0210,C0599,CHEQUE,ZAR,154678.32,2023-05-21,ACTIVE,BR321,0.0,2025-03-04
A0211,C0805,FIXED_DEPOSIT,ZAR,1175348.45,2016-11-24,ACTIVE,BR262,2.57,2026-08-25
A0212,C0774,FIXED_DEPOSIT,ZAR,221516.2,2016-02-05,ACTIVE,BR846,10.05,2026-07-26
A0213,C0776,MONEY_MARKET,ZAR,4420468.77,2017-11-19,ACTIVE,BR276,7.13,2019-12-31
A0214,C0258,CREDIT,ZAR,-11918.81,2024-07-11,ACTIVE,BR192,10.71,2024-12-31
A0215,C0945,CHEQUE,ZAR,51073.03,2018-10-03,ACTIVE,BR687,0.0,2020-09-18
A0216,C0807,CREDIT,ZAR,-98655.53,2016-02-16,ACTIVE,BR527,5.23,2025-06-13
A0217,C0138,MONEY_MARKET,ZAR,2079051.24,2016-06-11,ACTIVE,BR950,11.2,2025-09-23
A0218,C0370,SAVINGS,ZAR,215211.26,2022-07-06,ACTIVE,BR588,10.53,2026-02-20
A0219,C0735,SAVINGS,ZAR,115876.5,2016-03-17,ACTIVE,BR855,9.62,2022-08-27
A0220,C0380,CHEQUE,ZAR,151418.18,2018-10-03,ACTIVE,BR281,0.0,2020-04-05
A0221,C0857,CHEQUE,ZAR,90054.47,2019-05-05,ACTIVE,BR706,0.0,2021-10-31
A0222,C0006,MONEY_MARKET,ZAR,3489397.77,2025-07-22,ACTIVE,BR121,11.68,2025-10-03
A0223,C0675,MONEY_MARKET,ZAR,234495.74,2021-06-13,ACTIVE,BR509,1.83,2025-04-16
A0224,C0861,MONEY_MARKET,ZAR,321719.86,2025-04-26,FROZEN,BR991,2.06,2025-09-17
A0225,C0539,CHEQUE,ZAR,141211.79,2023-12-12,ACTIVE,BR115,0.0,2025-07-20
A0226,C0475,FIXED_DEPOSIT,ZAR,355193.66,2018-07-23,ACTIVE,BR192,5.84,2023-05-01
A0227,C0229,CHEQUE,ZAR,133025.82,2025-08-12,ACTIVE,BR988,0.0,2025-11-21
A0228,C0013,MONEY_MARKET,ZAR,3232424.91,2017-04-14,ACTIVE,BR365,3.9,2018-04-30
A0229,C0141,MONEY_MARKET,ZAR,4696521.63,2019-05-12,ACTIVE,BR498,4.69,2022-08-02
A0230,C0767,SAVINGS,ZAR,98394.04,2026-04-07,ACTIVE,BR581,8.4,2026-07-15
A0231,C0489,CREDIT,ZAR,-4897.81,2020-01-22,DORMANT,BR870,0.88,2022-05-24
A0232,C0300,FIXED_DEPOSIT,ZAR,368320.89,2022-10-11,FROZEN,BR938,3.83,2025-03-06
A0233,C0336,SAVINGS,ZAR,429188.17,2021-04-22,ACTIVE,BR663,5.8,2021-10-16
A0234,C0631,MONEY_MARKET,ZAR,2844928.07,2022-12-13,ACTIVE,BR814,2.69,2023-11-23
A0235,C0225,FIXED_DEPOSIT,ZAR,896139.69,2022-04-14,ACTIVE,BR373,1.43,2025-01-24
A0236,C0276,CHEQUE,ZAR,65796.84,2018-06-16,ACTIVE,BR915,0.0,2020-08-28
A0237,C0399,CREDIT,ZAR,-42740.05,2025-03-28,ACTIVE,BR879,12.47,2025-09-13
A0238,C0301,FIXED_DEPOSIT,ZAR,1547694.63,2025-10-20,ACTIVE,BR330,5.04,2025-12-29
A0239,C0582,MONEY_MARKET,ZAR,255239.07,2022-04-10,ACTIVE,BR277,2.87,2024-09-14
A0240,C0669,FIXED_DEPOSIT,ZAR,34055.0,2016-09-15,CLOSED,BR709,4.57,2022-04-28
A0241,C0907,FIXED_DEPOSIT,ZAR,632775.07,2023-01-07,ACTIVE,BR374,2.59,2025-03-17
A0242,C0329,FIXED_DEPOSIT,ZAR,1562657.44,2018-08-18,ACTIVE,BR955,10.08,2025-02-24
A0243,C0547,CHEQUE,ZAR,10918.78,2021-05-07,ACTIVE,BR151,0.0,2023-01-21
A0244,C0664,MONEY_MARKET,ZAR,3193700.5,2025-06-28,ACTIVE,BR400,3.17,2026-03-13
A0245,C0283,CREDIT,ZAR,-78772.13,2018-12-08,ACTIVE,BR845,5.0,2025-01-05
A0246,C0668,MONEY_MARKET,ZAR,4816943.37,2025-06-15,ACTIVE,BR525,3.58,2026-01-13
A0247,C0696,MONEY_MARKET,ZAR,4390353.6,2017-06-22,ACTIVE,BR513,7.14,2026-07-19
A0248,C0675,SAVINGS,ZAR,148537.62,2020-02-15,ACTIVE,BR631,4.97,2025-12-04
