transaction_id,customer_id,account_id,amount,currency,transaction_date,transaction_time,transaction_type,description,channel,status,reference_number,_quarantine_reason
TX018472,C0772,A0436,1246.54,ZAR,2026-02-23,08:05:00,TRANSFER,Transfer - Ref 602038,BRANCH,COMPLETED,REF2B03AFFF4E1F,EXACT_DUPLICATE
TX029283,C0585,A0196,1600.01,ZAR,2024-09-20,21:21:24,INTEREST,Interest - Ref 715555,BRANCH,COMPLETED,REFF6A0D582A878,EXACT_DUPLICATE
TX012610,C0292,A0766,3239.68,ZAR,2024-07-05,21:54:19,TRANSFER,Transfer - Ref 556568,MOBILE,COMPLETED,REF127AF5FF5047,EXACT_DUPLICATE
TX012145,C0821,A0809,88.25,ZAR,2024-11-10,06:44:11,FEE,Fee - Ref 493866,MOBILE,COMPLETED,REFC93FB6FFCE2A,EXACT_DUPLICATE
TX006114,C0039,A0783,43995.25,ZAR,2024-04-03,12:10:51,REVERSAL,Reversal - Ref 475649,ONLINE,COMPLETED,REFD283D9CFF7E7,EXACT_DUPLICATE
TX015119,C0387,A0525,8467.79,ZAR,2025-01-21,11:27:51,DEPOSIT,Deposit - Ref 299628,ONLINE,COMPLETED,REFCFD4144578BF,EXACT_DUPLICATE
TX013467,C0945,A0735,2672.95,ZAR,2025-06-18,20:28:50,INTEREST,Interest - Ref 988478,MOBILE,COMPLETED,REF0D4DBD168663,EXACT_DUPLICATE
TX026498,C0303,A0757,3322.07,ZAR,2024-12-25,11:42:21,INTEREST,Interest - Ref 787968,BRANCH,COMPLETED,REF27522374741D,EXACT_DUPLICATE
TX042112,C0320,A0547,7459.47,ZAR,2024-03-27,14:25:43,DEBIT_ORDER,Debit Order - Ref 645478,POS,COMPLETED,REF4469861AF5AA,EXACT_DUPLICATE
TX030189,C0564,A0484,3342.81,ZAR,2024-11-10,04:24:48,INTEREST,Interest - Ref 213444,MOBILE,COMPLETED,REF8FFB2B38923C,EXACT_DUPLICATE
TX037238,C0480,A0394,11233.12,ZAR,2024-11-09,18:23:14,DEPOSIT,Deposit - Ref 726566,MOBILE,FAILED,REF77F6CF225ADC,EXACT_DUPLICATE
TX033110,C0134,A0081,147.41,ZAR,2025-11-21,15:29:00,WITHDRAWAL,Withdrawal - Ref 979000,ONLINE,COMPLETED,REFABCDD19E8A13,EXACT_DUPLICATE
TX036481,C0383,A0367,4098.54,ZAR,2025-05-20,21:12:21,INTEREST,Interest - Ref 172474,POS,PENDING,REF254CF974FE55,EXACT_DUPLICATE
TX024149,C0649,A0370,437.42,ZAR,2025-04-24,09:58:51,FEE,Fee - Ref 896582,MOBILE,FAILED,REFF46414B3EC29,EXACT_DUPLICATE
TX005504,C0979,A0033,271.83,ZAR,2024-09-07,10:18:27,FEE,Fee - Ref 713890,ONLINE,COMPLETED,REFAEBA9A412A90,EXACT_DUPLICATE
TX003919,C0364,A1033,325.61,ZAR,2026-01-08,17:46:01,FEE,Fee - Ref 957480,MOBILE,COMPLETED,REFAE58078367EB,EXACT_DUPLICATE
TX038479,C0368,A1307,579.42,ZAR,2024-01-22,17:23:19,DEBIT_ORDER,Debit Order - Ref 964788,ONLINE,COMPLETED,REFE69432FFC9C8,EXACT_DUPLICATE
TX021124,C0156,A1296,252.51,ZAR,2026-01-30,14:12:19,FEE,Fee - Ref 177661,ONLINE,COMPLETED,REF0C9B9D3D26A3,EXACT_DUPLICATE
TX049718,C0692,A0415,742.74,ZAR,2025-06-23,09:12:58,DEBIT_ORDER,Debit Order - Ref 959003,POS,COMPLETED,REF0451F3BE5908,EXACT_DUPLICATE
TX042295,C0413,A0772,608.51,ZAR,2024-12-01,16:42:19,DEBIT_ORDER,Debit Order - Ref 814529,BRANCH,COMPLETED,REF2AB4242745E3,EXACT_DUPLICATE
TX047610,C0066,A0910,2419.81,ZAR,2025-08-12,22:10:21,DEBIT_ORDER,Debit Order - Ref 661799,POS,COMPLETED,REFFF424EC3AFF5,EXACT_DUPLICATE
TX011077,C0010,A1268,10937.88,ZAR,2025-05-11,01:34:07,DEPOSIT,Deposit - Ref 132352,MOBILE,FAILED,REF92C3E9B78AE7,EXACT_DUPLICATE
TX041515,C0411,A0601,2604.31,ZAR,2026-02-07,18:10:20,INTEREST,Interest - Ref 546435,ATM,PENDING,REF36066AF1302D,EXACT_DUPLICATE
TX022063,C0367,A0636,1030.67,ZAR,2025-09-17,22:41:50,DEBIT_ORDER,Debit Order - Ref 142808,ONLINE,FAILED,REF615201446AF9,EXACT_DUPLICATE
TX009414,C0610,A0875,474.27,ZAR,2026-08-23,13:17:29,FEE,Fee - Ref 147711,ATM,COMPLETED,REFE4212371342D,EXACT_DUPLICATE
TX038341,C0674,A0839,2451.71,ZAR,2025-01-28,20:06:41,DEPOSIT,Deposit - Ref 109765,ONLINE,COMPLETED,REFB0C218050897,EXACT_DUPLICATE
TX030264,C0247,A0655,1238.43,ZAR,2024-02-04,15:08:02,DEPOSIT,Deposit - Ref 960279,ONLINE,COMPLETED,REF1AE320144A08,EXACT_DUPLICATE
TX041253,C0675,A0223,6374.6,ZAR,2024-08-28,12:51:44,DEPOSIT,Deposit - Ref 860565,ONLINE,COMPLETED,REF46D97A692299,EXACT_DUPLICATE
TX014645,C0739,A0688,1087.42,ZAR,2024-11-30,08:01:17,DEPOSIT,Deposit - Ref 119907,ONLINE,COMPLETED,REF580994B92C39,EXACT_DUPLICATE
TX026336,C0174,A0413,927.62,ZAR,2025-03-28,01:24:22,INTEREST,Interest - Ref 700062,ONLINE,PENDING,REFBBF2F25E22B2,EXACT_DUPLICATE
TX028103,C0192,A0802,641.67,ZAR,2024-02-23,14:08:37,INTEREST,Interest - Ref 507592,ONLINE,COMPLETED,REFA783E73072A4,EXACT_DUPLICATE
TX017524,C0614,A0696,38041.92,ZAR,2025-10-22,23:43:36,REVERSAL,Reversal - Ref 518508,MOBILE,COMPLETED,REF9F6E4FEE6E3B,EXACT_DUPLICATE
TX024713,C0624,A0969,141.42,ZAR,2026-04-18,14:35:39,WITHDRAWAL,Withdrawal - Ref 929844,MOBILE,COMPLETED,REF68C8963C5FFD,EXACT_DUPLICATE
TX003851,C0868,A0080,247.22,ZAR,2026-07-29,00:30:10,TRANSFER,Transfer - Ref 340830,ONLINE,COMPLETED,REFAC23EC177ABB,EXACT_DUPLICATE
TX040041,C0341,A0929,617.25,ZAR,2024-12-02,22:46:49,DEPOSIT,Deposit - Ref 920414,ONLINE,COMPLETED,REF69A9FFCB119D,EXACT_DUPLICATE
TX015268,C0675,A1071,1782.98,ZAR,2026-05-08,11:25:07,DEBIT_ORDER,Debit Order - Ref 328234,ATM,COMPLETED,REF73045E343D29,EXACT_DUPLICATE
TX049147,C0084,A0911,360.54,ZAR,2024-05-21,09:16:26,DEBIT_ORDER,Debit Order - Ref 457312,MOBILE,PENDING,REFC9FEBC96E9EC,EXACT_DUPLICATE
TX045927,C0043,A0204,9875.49,ZAR,2025-03-16,01:35:23,TRANSFER,Transfer - Ref 253355,POS,COMPLETED,REF3D3FCE7090E0,EXACT_DUPLICATE
TX043825,C0028,A1371,287.72,ZAR,2026-01-08,00:26:01,WITHDRAWAL,Withdrawal - Ref 111695,MOBILE,COMPLETED,REF73C4B5CC9455,EXACT_DUPLICATE
TX017241,C0451,A0299,583.43,ZAR,2025-07-31,13:53:54,DEPOSIT,Deposit - Ref 998842,MOBILE,COMPLETED,REFD0628A3F4055,EXACT_DUPLICATE
TX004893,C0074,A1409,298.82,ZAR,2026-09-10,02:03:32,FEE,Fee - Ref 578892,MOBILE,COMPLETED,REF751424C3B9A2,EXACT_DUPLICATE
TX000726,C0633,A0530,230.62,ZAR,2026-08-16,14:34:00,WITHDRAWAL,Withdrawal - Ref 383542,MOBILE,COMPLETED,REFD4AC5149EFB5,EXACT_DUPLICATE
TX022950,C0915,A0345,357.06,ZAR,2026-08-07,09:39:39,DEBIT_ORDER,Debit Order - Ref 525697,ATM,COMPLETED,REF6D34DED502B7,EXACT_DUPLICATE
TX034658,C0407,A0768,1075.68,ZAR,2026-08-27,07:00:12,PAYMENT,Payment - Ref 457166,MOBILE,COMPLETED,REF6C707CC2D6CE,EXACT_DUPLICATE
TX037214,C0573,A0991,2193.81,ZAR,2026-05-13,06:59:41,WITHDRAWAL,Withdrawal - Ref 338561,ONLINE,COMPLETED,REF66662A3DE843,EXACT_DUPLICATE
TX020305,C0772,A0049,48298.24,ZAR,2026-09-07,09:31:13,REVERSAL,Reversal - Ref 338694,MOBILE,COMPLETED,REF0BACE46AC4F3,EXACT_DUPLICATE
TX015270,C0224,A0257,1180.42,ZAR,2026-08-18,22:17:46,REVERSAL,Reversal - Ref 982972,MOBILE,COMPLETED,REFBE9C7857913C,EXACT_DUPLICATE
TX022368,C0168,A0396,3564.27,ZAR,2025-11-18,22:55:58,DEPOSIT,Deposit - Ref 383873,MOBILE,COMPLETED,REF6CE4A69F4FD8,EXACT_DUPLICATE
TX042685,C0678,A0909,978.78,ZAR,2025-12-29,07:50:33,DEPOSIT,Deposit - Ref 672184,ONLINE,COMPLETED,REFAC0E6E4721F9,EXACT_DUPLICATE
TX046735,C0113,A1264,492.78,ZAR,2024-04-28,01:54:12,DEBIT_ORDER,Debit Order - Ref 110586,MOBILE,COMPLETED,REF52C3B6A5A431,EXACT_DUPLICATE
TX011733,C0056,A0275,11296.35,ZAR,2026-04-26,18:59:03,PAYMENT,Payment - Ref 658346,MOBILE,COMPLETED,REF338A1E5DDB89,EXACT_DUPLICATE
TX018620,C0694,A0961,388.1,ZAR,2024-08-02,14:07:15,WITHDRAWAL,Withdrawal - Ref 759432,MOBILE,COMPLETED,REF7DE944503CA7,EXACT_DUPLICATE
TX048493,C0999,A0831,51.15,ZAR,2025-01-04,16:28:35,FEE,Fee - Ref 803972,MOBILE,COMPLETED,REF6327E76C5628,EXACT_DUPLICATE
TX026804,C0587,A1171,25393.61,ZAR,2025-09-28,13:33:48,TRANSFER,Transfer - Ref 976173,ONLINE,COMPLETED,REFE34FDF563AC9,EXACT_DUPLICATE
TX044306,C0232,A0597,4370.03,ZAR,2024-10-31,12:15:12,INTEREST,Interest - Ref 519188,MOBILE,COMPLETED,REFC5742D068917,EXACT_DUPLICATE
TX047523,C0279,A1118,4994.63,ZAR,2025-10-31,07:22:42,TRANSFER,Transfer - Ref 869345,MOBILE,COMPLETED,REF6CAACDD31535,EXACT_DUPLICATE
TX032208,C0621,A0864,1607.12,ZAR,2024-05-23,21:11:43,PAYMENT,Payment - Ref 682128,MOBILE,COMPLETED,REFF680BF0B306D,EXACT_DUPLICATE
TX002531,C0230,A0841,1429.97,ZAR,2025-12-06,21:09:02,DEPOSIT,Deposit - Ref 517395,POS,COMPLETED,REF5C9BB5FB1795,EXACT_DUPLICATE
TX017747,C0345,A0694,91.64,ZAR,2025-05-29,17:13:48,FEE,Fee - Ref 289318,ONLINE,COMPLETED,REF6C75DF086360,EXACT_DUPLICATE
TX008271,C0423,A0176,641.89,ZAR,2024-07-19,11:10:18,PAYMENT,Payment - Ref 857686,POS,COMPLETED,REF32675DDC6B6B,EXACT_DUPLICATE
TX015080,C0157,A0501,3751.55,ZAR,2024-07-06,21:36:40,DEPOSIT,Deposit - Ref 228377,MOBILE,COMPLETED,REFA43A983B04D7,EXACT_DUPLICATE
TX013625,C0474,A1414,20883.3,ZAR,2026-07-30,20:03:50,REVERSAL,Reversal - Ref 737333,ONLINE,FAILED,REF9ABD16D72282,EXACT_DUPLICATE
TX030639,C0970,A0514,54.8,ZAR,2024-03-01,16:28:42,FEE,Fee - Ref 179073,BRANCH,COMPLETED,REFF65C3E3D1810,EXACT_DUPLICATE
TX030441,C0399,A0117,114.9,ZAR,2024-09-08,14:09:24,FEE,Fee - Ref 118905,MOBILE,COMPLETED,REF838FB0751CBD,EXACT_DUPLICATE
TX036057,C0179,A0566,330.31,ZAR,2025-11-23,00:59:43,WITHDRAWAL,Withdrawal - Ref 248390,BRANCH,COMPLETED,REFA0256EE27E0F,EXACT_DUPLICATE
TX042652,C0301,A0334,643.38,ZAR,2024-02-29,04:06:47,DEBIT_ORDER,Debit Order - Ref 577464,ONLINE,COMPLETED,REF73B909B75EE8,EXACT_DUPLICATE
TX036804,C0102,A0678,4469.89,ZAR,2024-09-26,15:18:49,PAYMENT,Payment - Ref 535923,POS,PENDING,REF0D4A7103D7DA,EXACT_DUPLICATE
TX048225,C0962,A1156,142.6,ZAR,2026-05-20,04:20:17,PAYMENT,Payment - Ref 407714,MOBILE,COMPLETED,REF2BD56AFE8711,EXACT_DUPLICATE
TX029227,C0738,A0650,1601.22,ZAR,2024-05-12,10:50:15,TRANSFER,Transfer - Ref 990841,ONLINE,COMPLETED,REFF16F405DCB90,EXACT_DUPLICATE
TX005634,C0434,A1413,2516.51,ZAR,2026-09-02,08:08:55,INTEREST,Interest - Ref 984792,POS,COMPLETED,REF2CBCC930DA5E,EXACT_DUPLICATE
TX005988,C0657,A0466,737.63,ZAR,2024-03-16,06:33:27,WITHDRAWAL,Withdrawal - Ref 308567,BRANCH,COMPLETED,REF7D4D93D7414C,EXACT_DUPLICATE
TX048064,C0761,A1436,8109.75,ZAR,2025-08-10,18:43:19,TRANSFER,Transfer - Ref 708018,MOBILE,COMPLETED,REFFD839EEB5D21,EXACT_DUPLICATE
TX027579,C0429,A1065,17850.57,ZAR,2026-02-06,20:41:01,DEPOSIT,Deposit - Ref 896408,MOBILE,COMPLETED,REF0FF38880A28A,EXACT_DUPLICATE
TX016824,C0645,A0282,6182.16,ZAR,2024-12-25,22:37:06,REVERSAL,Reversal - Ref 395124,ATM,PENDING,REFF6A78CA100DA,EXACT_DUPLICATE
TX003929,C0258,A0001,31693.68,ZAR,2026-02-24,14:17:20,DEPOSIT,Deposit - Ref 789637,MOBILE,COMPLETED,REF86393025B4B9,EXACT_DUPLICATE
TX037287,C0564,A0513,1923.94,ZAR,2024-02-07,15:26:17,INTEREST,Interest - Ref 826515,MOBILE,COMPLETED,REFC76CFD3BA9A1,EXACT_DUPLICATE
TX015728,C0500,A1239,693.12,ZAR,2026-05-25,13:44:34,TRANSFER,Transfer - Ref 455037,ONLINE,COMPLETED,REF9330C2C3B81F,EXACT_DUPLICATE
TX029601,C0276,A0236,1912.44,ZAR,2026-05-03,03:03:42,DEBIT_ORDER,Debit Order - Ref 875594,ONLINE,COMPLETED,REF3E09E84FE8B7,EXACT_DUPLICATE
TX010431,C0035,A0317,654.44,ZAR,2024-11-29,16:36:07,WITHDRAWAL,Withdrawal - Ref 403215,BRANCH,COMPLETED,REFACC1D250D097,EXACT_DUPLICATE
TX025769,C0439,A0565,55.93,ZAR,2025-08-01,21:38:28,FEE,Fee - Ref 498150,MOBILE,COMPLETED,REF3712B7E20A03,EXACT_DUPLICATE
TX029104,C0774,A1358,754.16,ZAR,2024-11-20,09:45:47,DEPOSIT,Deposit - Ref 468053,ONLINE,COMPLETED,REFAD9BEE3FC66E,EXACT_DUPLICATE
TX036538,C0316,A1015,1472.07,ZAR,2026-05-26,10:25:07,WITHDRAWAL,Withdrawal - Ref 485459,MOBILE,PENDING,REF3F20029F9536,EXACT_DUPLICATE
TX039329,C0342,A0332,303.24,ZAR,2024-06-11,00:47:42,FEE,Fee - Ref 529349,MOBILE,COMPLETED,REF01D27D5DC884,EXACT_DUPLICATE
TX035540,C0689,A0928,2738.08,ZAR,2025-08-04,17:29:34,DEBIT_ORDER,Debit Order - Ref 214173,ATM,COMPLETED,REFFBBD0A606F12,EXACT_DUPLICATE
TX028076,C0258,A0001,7562.43,ZAR,2025-09-02,13:13:27,REVERSAL,Reversal - Ref 935985,ATM,COMPLETED,REF6EBCBCECC123,EXACT_DUPLICATE
TX017841,C0442,A1434,6916.66,ZAR,2024-09-13,19:21:12,TRANSFER,Transfer - Ref 294208,MOBILE,COMPLETED,REF4DC9E9939C41,EXACT_DUPLICATE
TX027803,C0302,A0066,2891.37,ZAR,2024-04-03,10:50:31,REVERSAL,Reversal - Ref 399328,BRANCH,COMPLETED,REF5922FAA7C4A8,EXACT_DUPLICATE
TX007683,C0671,A0854,624.75,ZAR,2024-10-02,10:36:24,WITHDRAWAL,Withdrawal - Ref 960429,ONLINE,FAILED,REFEA2E79433A43,EXACT_DUPLICATE
TX024280,C0570,A0641,449.75,ZAR,2025-03-31,20:11:31,WITHDRAWAL,Withdrawal - Ref 143192,ONLINE,COMPLETED,REFE11709185B02,EXACT_DUPLICATE
TX033071,C0014,A0635,648.12,ZAR,2025-04-13,04:27:48,INTEREST,Interest - Ref 420555,MOBILE,COMPLETED,REF57284CA5B4FF,EXACT_DUPLICATE
TX035558,C0252,A1110,3860.16,ZAR,2024-02-01,16:25:27,INTEREST,Interest - Ref 107392,ONLINE,COMPLETED,REFF0CD2D38D509,EXACT_DUPLICATE
TX037190,C0556,A0980,287.2,ZAR,2024-01-20,02:49:29,FEE,Fee - Ref 475334,MOBILE,PENDING,REFB739A3D14C7A,EXACT_DUPLICATE
TX047150,C0024,A0628,1683.73,ZAR,2026-02-17,08:47:03,PAYMENT,Payment - Ref 134006,ATM,COMPLETED,REFE992B8BB636E,EXACT_DUPLICATE
TX046916,C0300,A0232,445.26,ZAR,2024-11-23,23:41:59,FEE,Fee - Ref 330539,ONLINE,COMPLETED,REF4C293349F2AC,EXACT_DUPLICATE
TX024670,C0312,A0493,9783.72,ZAR,2025-11-05,00:50:50,DEPOSIT,Deposit - Ref 752547,POS,COMPLETED,REF37AE5CF9D11D,EXACT_DUPLICATE
TX044234,C0852,A1207,258.53,ZAR,2024-09-04,21:51:14,PAYMENT,Payment - Ref 487893,BRANCH,COMPLETED,REF5D10488489E0,EXACT_DUPLICATE
TX031920,C0992,A1261,178.12,ZAR,2025-09-17,11:22:52,FEE,Fee - Ref 397399,ONLINE,COMPLETED,REF5373B559E4E4,EXACT_DUPLICATE
TX007135,C0749,A1469,373.19,ZAR,2024-12-10,23:56:43,WITHDRAWAL,Withdrawal - Ref 192836,ATM,COMPLETED,REF15DA64CED535,EXACT_DUPLICATE
TX033705,C0315,A0091,27524.33,ZAR,2025-03-09,08:51:39,REVERSAL,Reversal - Ref 805896,ATM,COMPLETED,REFB36D52E2B4BD,EXACT_DUPLICATE
TX029661,C0800,A0338,28897.67,ZAR,2025-08-19,16:05:19,REVERSAL,Reversal - Ref 125025,ONLINE,COMPLETED,REFAB04C999E1B6,EXACT_DUPLICATE
TX017894,C0020,A0271,44387.21,ZAR,2024-07-23,00:47:11,REVERSAL,Reversal - Ref 779923,MOBILE,COMPLETED,REF004C62E7368F,EXACT_DUPLICATE
TX022019,C0281,A0973,701.98,ZAR,2026-02-19,21:39:33,INTEREST,Interest - Ref 794634,BRANCH,COMPLETED,REFE4979D5FB6C2,EXACT_DUPLICATE
TX013539,C0544,A0444,114.18,ZAR,2025-12-25,11:43:11,FEE,Fee - Ref 733649,ONLINE,COMPLETED,REF95CD9F225ED8,EXACT_DUPLICATE
TX043119,C0981,A0651,200.52,ZAR,2024-12-10,15:35:55,WITHDRAWAL,Withdrawal - Ref 466714,ATM,FAILED,REFF0D6FD40ED6E,EXACT_DUPLICATE
TX036421,C0479,A1484,866.82,ZAR,2026-05-01,18:03:40,WITHDRAWAL,Withdrawal - Ref 402773,ONLINE,COMPLETED,REF18E64C29799C,EXACT_DUPLICATE
TX009406,C0416,A0724,1219.57,ZAR,2026-04-28,15:47:50,DEPOSIT,Deposit - Ref 372429,MOBILE,COMPLETED,REF4CA71EEA50C4,EXACT_DUPLICATE
TX013414,C0079,A1350,1163.6,ZAR,2025-08-22,03:17:55,INTEREST,Interest - Ref 499875,ONLINE,COMPLETED,REFE05C7B586CC9,EXACT_DUPLICATE
TX006721,C0047,A0985,2990.17,ZAR,2025-04-21,03:14:22,INTEREST,Interest - Ref 691879,MOBILE,COMPLETED,REFF892D5E56BAE,EXACT_DUPLICATE
TX015602,C0554,A1398,1541.55,ZAR,2024-09-14,21:02:04,PAYMENT,Payment - Ref 238961,ATM,COMPLETED,REFCD783CB276DD,EXACT_DUPLICATE
TX044744,C0972,A1305,1366.37,ZAR,2025-11-04,01:58:54,INTEREST,Interest - Ref 787862,ONLINE,COMPLETED,REFC05370EC945D,EXACT_DUPLICATE
TX002730,C0450,A0536,58.61,ZAR,2026-05-16,19:57:14,FEE,Fee - Ref 812325,POS,COMPLETED,REF95113A664DC6,EXACT_DUPLICATE
TX038243,C0620,A0169,2415.76,ZAR,2026-05-03,07:15:27,INTEREST,Interest - Ref 912540,MOBILE,REVERSED,REFDC7BAEBF9465,EXACT_DUPLICATE
TX029626,C0431,A0467,2764.88,ZAR,2025-09-13,01:43:08,INTEREST,Interest - Ref 687135,MOBILE,COMPLETED,REF7F47BE9B9D7E,EXACT_DUPLICATE
TX047895,C0010,A1359,963.93,ZAR,2025-04-03,05:25:23,PAYMENT,Payment - Ref 758774,POS,COMPLETED,REFEFDC91C69AEF,EXACT_DUPLICATE
TX042091,C0884,A0719,9301.92,ZAR,2024-01-24,17:23:09,DEPOSIT,Deposit - Ref 497846,MOBILE,PENDING,REF9748FB0FC175,EXACT_DUPLICATE
TX036400,C0945,A1213,126.5,ZAR,2024-07-09,00:52:44,WITHDRAWAL,Withdrawal - Ref 560199,BRANCH,COMPLETED,REFF9CC2E16FA94,EXACT_DUPLICATE
TX006245,C0344,A0725,4470.53,ZAR,2025-05-01,16:05:05,INTEREST,Interest - Ref 971724,BRANCH,COMPLETED,REF063EB753471C,EXACT_DUPLICATE
TX005546,C0543,A0138,242.11,ZAR,2024-04-30,20:09:07,WITHDRAWAL,Withdrawal - Ref 581638,POS,COMPLETED,REFF6001F97B78D,EXACT_DUPLICATE
TX004065,C0227,A1289,4463.93,ZAR,2024-03-12,05:01:21,INTEREST,Interest - Ref 375603,ONLINE,COMPLETED,REFBE6A8424B980,EXACT_DUPLICATE
TX012852,C0754,A0521,147.96,ZAR,2024-05-05,08:21:54,WITHDRAWAL,Withdrawal - Ref 419307,MOBILE,COMPLETED,REFE5ECA1BFA517,EXACT_DUPLICATE
TX041164,C0850,A0083,2213.4,ZAR,2025-02-03,03:09:13,INTEREST,Interest - Ref 994519,MOBILE,COMPLETED,REF4479A4A9ED6C,EXACT_DUPLICATE
TX006233,C0120,A1475,511.5,ZAR,2024-07-22,10:00:34,WITHDRAWAL,Withdrawal - Ref 787564,POS,COMPLETED,REF4BD7994860C1,EXACT_DUPLICATE
TX003863,C0796,A1009,397.58,ZAR,2025-07-13,20:05:03,FEE,Fee - Ref 198029,BRANCH,PENDING,REF5560CFF678F6,EXACT_DUPLICATE
TX035095,C0189,A1440,4768.86,ZAR,2024-09-29,04:53:16,INTEREST,Interest - Ref 122485,ATM,FAILED,REFEF7431FCCBDB,EXACT_DUPLICATE
TX040196,C0721,A0430,494.56,ZAR,2025-06-17,04:18:28,FEE,Fee - Ref 257615,MOBILE,COMPLETED,REFBAFB8200C7CC,EXACT_DUPLICATE
TX039251,C0607,A1329,4119.95,ZAR,2026-01-20,05:18:04,INTEREST,Interest - Ref 983450,BRANCH,COMPLETED,REFF3A21560A9E9,EXACT_DUPLICATE
TX006218,C0142,A0366,148.56,ZAR,2024-06-20,18:00:52,WITHDRAWAL,Withdrawal - Ref 152965,ATM,COMPLETED,REF7E68EEF6E934,EXACT_DUPLICATE
TX036776,C0534,A0784,173.67,ZAR,2026-04-08,07:27:48,FEE,Fee - Ref 902033,MOBILE,COMPLETED,REF5890F8ECB46E,EXACT_DUPLICATE
TX042977,C0632,A0946,26191.7,ZAR,2025-11-19,02:50:16,REVERSAL,Reversal - Ref 102816,MOBILE,COMPLETED,REFBDDF59365761,EXACT_DUPLICATE
TX048468,C0158,A1330,1726.44,ZAR,2026-01-31,01:54:45,DEPOSIT,Deposit - Ref 920550,MOBILE,FAILED,REFD7491A7974C6,EXACT_DUPLICATE
TX008894,C0607,A0577,421.01,ZAR,2026-05-21,10:22:10,DEPOSIT,Deposit - Ref 356381,ONLINE,COMPLETED,REF5E59BDCFB1CD,EXACT_DUPLICATE
TX006021,C0620,A0623,313.85,ZAR,2024-05-17,21:09:53,DEBIT_ORDER,Debit Order - Ref 220585,ATM,COMPLETED,REF749C14777D91,EXACT_DUPLICATE
TX046089,C0150,A1057,739.89,ZAR,2025-09-29,02:19:26,INTEREST,Interest - Ref 746608,MOBILE,COMPLETED,REFC04C9E600388,EXACT_DUPLICATE
TX015243,C0408,A0391,1678.07,ZAR,2024-11-10,16:41:20,DEPOSIT,Deposit - Ref 476616,POS,COMPLETED,REF84E1954AC030,EXACT_DUPLICATE
TX006035,C0888,A0427,668.54,ZAR,2025-07-19,06:41:39,DEBIT_ORDER,Debit Order - Ref 779721,ATM,COMPLETED,REF45456DFE6ADB,EXACT_DUPLICATE
TX007906,C0526,A0464,2005.62,ZAR,2026-06-13,21:45:42,PAYMENT,Payment - Ref 631358,MOBILE,COMPLETED,REF0BE363A75F8F,EXACT_DUPLICATE
TX006018,C0989,A0042,610.29,ZAR,2025-12-29,15:37:43,WITHDRAWAL,Withdrawal - Ref 387122,ONLINE,REVERSED,REFDDDE0BB00BB5,EXACT_DUPLICATE
