account_id,customer_id,account_type,currency,balance,opened_date,status,branch_code,interest_rate,last_activity_date,_quarantine_reason
A0779,FAKE_ECE72C02,SAVINGS,ZAR,294655.21,2019-08-02,ACTIVE,BR446,3.86,2021-03-10,BROKEN_FK_customer_id_to_customers
A0790,UNKNOWN,SAVINGS,ZAR,492072.63,2019-11-29,ACTIVE,BR410,9.86,2022-10-14,BROKEN_FK_customer_id_to_customers
A0831,FAKE_8740640B,CHEQUE,ZAR,144404.04,2025-10-08,FROZEN,BR807,0.0,2026-03-29,BROKEN_FK_customer_id_to_customers
A0937,FAKE_DEDEAEFB,FIXED_DEPOSIT,ZAR,196693.88,2019-07-27,ACTIVE,BR894,1.13,2022-04-14,BROKEN_FK_customer_id_to_customers
A0938,UNKNOWN,SAVINGS,ZAR,400509.77,2026-01-12,ACTIVE,BR633,8.44,2026-04-08,BROKEN_FK_customer_id_to_customers
A0943,FAKE_51ED06EF,CHEQUE,ZAR,122448.51,2018-06-02,ACTIVE,BR539,0.0,2023-06-30,BROKEN_FK_customer_id_to_customers
A0994,FAKE_CA8C1637,SAVINGS,ZAR,321385.93,2024-07-06,ACTIVE,BR477,2.27,2026-07-01,BROKEN_FK_customer_id_to_customers
A1025,FAKE_9558FE3A,CREDIT,ZAR,-82526.48,2021-12-31,ACTIVE,BR359,1.16,2022-05-17,BROKEN_FK_customer_id_to_customers
A1065,FAKE_CA6D7BD4,FIXED_DEPOSIT,ZAR,1568519.56,2016-02-22,DORMANT,BR588,3.66,2025-03-01,BROKEN_FK_customer_id_to_customers
A1146,FAKE_CF385B1E,SAVINGS,ZAR,66506.42,2021-02-04,ACTIVE,BR376,9.85,2023-06-29,BROKEN_FK_customer_id_to_customers
A1169,UNKNOWN,CHEQUE,ZAR,106049.05,2020-12-19,CLOSED,BR111,0.0,2023-02-28,BROKEN_FK_customer_id_to_customers
A1181,UNKNOWN,SAVINGS,ZAR,368722.73,2022-03-12,ACTIVE,BR687,1.7,2024-06-02,BROKEN_FK_customer_id_to_customers
A1190,UNKNOWN,SAVINGS,ZAR,453682.35,2019-05-31,ACTIVE,BR254,11.43,2022-02-25,BROKEN_FK_customer_id_to_customers
A1200,UNKNOWN,CHEQUE,ZAR,126005.81,2025-06-13,ACTIVE,BR342,0.0,2025-07-05,BROKEN_FK_customer_id_to_customers
A1205,UNKNOWN,FIXED_DEPOSIT,ZAR,1714327.05,2020-05-04,DORMANT,BR266,6.3,2025-06-10,BROKEN_FK_customer_id_to_customers
A1236,FAKE_DBEDF635,FIXED_DEPOSIT,ZAR,1596435.07,2022-05-13,ACTIVE,BR937,1.86,2026-02-06,BROKEN_FK_customer_id_to_customers
A1314,FAKE_C8C01F60,MONEY_MARKET,ZAR,276442.36,2026-06-10,ACTIVE,BR136,8.43,2026-07-28,BROKEN_FK_customer_id_to_customers
A1330,FAKE_C95E3E4A,MONEY_MARKET,ZAR,112445.44,2023-07-20,ACTIVE,BR368,8.48,2024-04-28,BROKEN_FK_customer_id_to_customers
A1386,FAKE_A8E93D2F,MONEY_MARKET,ZAR,3817907.9575,2018-08-22,ACTIVE,BR681,10.93,2023-06-08,BROKEN_FK_customer_id_to_customers
A1438,UNKNOWN,SAVINGS,ZAR,341507.66,2025-12-16,ACTIVE,BR307,1.5,2026-07-29,BROKEN_FK_customer_id_to_customers
A1444,UNKNOWN,SAVINGS,ZAR,40473.95,2020-01-28,ACTIVE,BR733,4.14,2026-02-07,BROKEN_FK_customer_id_to_customers
A1487,FAKE_5744894B,FIXED_DEPOSIT,ZAR,1926391.41,2017-03-27,ACTIVE,BR695,11.37,2019-02-22,BROKEN_FK_customer_id_to_customers
