payment_id,customer_id,account_id,policy_id,amount,currency,payment_date,payment_method,status,reference,failure_reason,_quarantine_reason
PAY008079,C0168,A0867,POL0301,3132.02,ZAR,2024-10-08,DEBIT_ORDER,PENDING,PAYREF6CADFC2D85,,EXACT_DUPLICATE
PAY004273,C0474,A1143,POL0347,1372.65,ZAR,2026-06-06,MOBILE,COMPLETED,PAYREF20B5C4F26A,,EXACT_DUPLICATE
PAY002708,C0699,A0963,,1261.68,ZAR,2026-03-07,CASH,FAILED,PAYREFE775DE65CE,Technical error,EXACT_DUPLICATE
PAY002584,C0795,A0510,,6703.45,ZAR,2026-01-02,EFT,COMPLETED,PAYREF47150A6541,,EXACT_DUPLICATE
PAY006514,C0724,A0365,,645.82,ZAR,2026-07-16,CARD,COMPLETED,PAYREFBF120DE6AF,,EXACT_DUPLICATE
PAY006343,C0498,A0172,POL0292,1607.22,ZAR,2024-11-25,EFT,COMPLETED,PAYREFFA7F3C2D2C,,EXACT_DUPLICATE
PAY007425,C0842,A1471,,520.0,ZAR,2024-07-25,EFT,PENDING,PAYREFC52CA93485,,EXACT_DUPLICATE
PAY007293,C0530,A1278,POL0183,390.41,ZAR,2025-10-29,EFT,COMPLETED,PAYREF2D4944119D,,EXACT_DUPLICATE
PAY002999,C0857,A1146,POL0312,1056.69,ZAR,2024-10-05,CARD,COMPLETED,PAYREF10A3B8492F,,EXACT_DUPLICATE
PAY002772,C0327,A1347,POL0299,933.95,ZAR,2024-08-18,CARD,COMPLETED,PAYREF07E841C137,,EXACT_DUPLICATE
PAY008964,C0055,A1007,,621.36,ZAR,2024-01-29,CARD,COMPLETED,PAYREFD75FA6FE23,,EXACT_DUPLICATE
PAY001982,C0534,A1176,,1132.95,ZAR,2024-11-03,CARD,COMPLETED,PAYREF9AD4A51777,,EXACT_DUPLICATE
PAY000992,C0805,A1152,POL0452,764.96,ZAR,2026-04-15,MOBILE,COMPLETED,PAYREFE7DFACC4B6,,EXACT_DUPLICATE
PAY006153,C0974,A1008,POL0296,1331.07,ZAR,2026-01-13,CARD,PENDING,PAYREF45494E9AC4,,EXACT_DUPLICATE
PAY004276,C0212,A1068,POL0109,1148.47,ZAR,2024-05-31,CASH,COMPLETED,PAYREF3851E37E27,,EXACT_DUPLICATE
PAY000746,C0217,A0961,POL0093,144.14,ZAR,2026-02-06,MOBILE,COMPLETED,PAYREFE584E10D6B,,EXACT_DUPLICATE
PAY003317,C0857,A0933,POL0618,1402.75,ZAR,2026-04-07,MOBILE,REVERSED,PAYREF0704A0853A,,EXACT_DUPLICATE
PAY006564,C0384,A1335,,273.25,ZAR,2025-02-19,CARD,COMPLETED,PAYREFB37FF85499,,EXACT_DUPLICATE
PAY001137,C0804,A0270,,2347.58,ZAR,2025-12-20,DEBIT_ORDER,COMPLETED,PAYREF239BEDEABB,,EXACT_DUPLICATE
PAY005416,C0579,A0049,,4857.51,ZAR,2025-08-18,MOBILE,COMPLETED,PAYREFCDA748B957,,EXACT_DUPLICATE
PAY005907,C0613,A1340,,1723.34,ZAR,2025-10-29,DEBIT_ORDER,COMPLETED,PAYREF9D4C70B6AE,,EXACT_DUPLICATE
PAY000091,C0250,A0233,,45607.77,ZAR,2024-03-08,MOBILE,COMPLETED,PAYREFA346ADDC73,,EXACT_DUPLICATE
PAY008476,C0236,A0634,,826.5,ZAR,2024-03-22,CASH,COMPLETED,PAYREFF118AEE6C0,,EXACT_DUPLICATE
PAY005923,C0397,A0126,POL0135,2336.75,ZAR,2026-03-28,MOBILE,COMPLETED,PAYREFAC5C13A76A,,EXACT_DUPLICATE
PAY002969,C0530,A0833,POL0495,1043.96,ZAR,2025-07-24,CASH,REVERSED,PAYREF9FF7A8EF73,,EXACT_DUPLICATE
PAY001361,C0983,A0596,POL0126,2353.97,ZAR,2024-09-17,DEBIT_ORDER,COMPLETED,PAYREF745F1B6EFE,,EXACT_DUPLICATE
PAY005193,C0959,A1136,,4266.07,ZAR,2025-11-10,DEBIT_ORDER,COMPLETED,PAYREF8AFAF1918B,,EXACT_DUPLICATE
PAY005922,C0923,A0688,POL0362,86.16,ZAR,2024-01-04,CASH,COMPLETED,PAYREF84715F9196,,EXACT_DUPLICATE
PAY002006,C0992,A0294,,50.34,ZAR,2025-03-10,EFT,COMPLETED,PAYREF6ADD86F3E2,,EXACT_DUPLICATE
PAY004150,C0843,A0975,POL0425,498.22,ZAR,2025-04-14,DEBIT_ORDER,COMPLETED,PAYREF45B4C4A332,,EXACT_DUPLICATE
PAY003301,C0667,A1285,POL0703,2569.15,ZAR,2026-02-11,CASH,COMPLETED,PAYREFF27E50947F,,EXACT_DUPLICATE
PAY006896,C0276,A1112,,2837.5,ZAR,2026-02-04,CASH,PENDING,PAYREFCF4BE3A095,,EXACT_DUPLICATE
PAY001699,C0596,A1472,POL0223,910.54,ZAR,2025-05-24,DEBIT_ORDER,COMPLETED,PAYREFCCA8436AB3,,EXACT_DUPLICATE
PAY005227,C0042,A1360,POL0460,478.53,ZAR,2025-08-12,CARD,COMPLETED,PAYREFB78FE35D2D,,EXACT_DUPLICATE
PAY000345,C0420,A1406,POL0599,654.18,ZAR,2024-01-14,DEBIT_ORDER,COMPLETED,PAYREF05AA98F1F9,,EXACT_DUPLICATE
PAY002283,C0156,A1293,POL0434,1292.81,ZAR,2024-06-01,CASH,COMPLETED,PAYREFDD85FBC1E7,,EXACT_DUPLICATE
PAY000772,C0598,A1208,POL0628,915.09,ZAR,2025-03-23,CASH,COMPLETED,PAYREF58572D90AB,,EXACT_DUPLICATE
PAY000278,C0988,A0265,,1881.72,ZAR,2026-07-09,CARD,COMPLETED,PAYREF33F27739A3,,EXACT_DUPLICATE
PAY001046,C0853,A0708,,1005.41,ZAR,2024-06-27,DEBIT_ORDER,COMPLETED,PAYREF54E8F67165,,EXACT_DUPLICATE
PAY005307,C0604,A1154,,1588.53,ZAR,2024-05-03,MOBILE,COMPLETED,PAYREFB5A586A38E,,EXACT_DUPLICATE
PAY006659,C0888,A1422,POL0326,3592.8,ZAR,2024-02-08,CASH,COMPLETED,PAYREFDDE40E0A93,,EXACT_DUPLICATE
PAY009513,C0998,A0417,,474.48,ZAR,2024-12-28,MOBILE,COMPLETED,PAYREF3CC5701DC5,,EXACT_DUPLICATE
PAY006444,C0654,A1268,POL0040,642.4,ZAR,2024-12-24,CASH,COMPLETED,PAYREF67A25EE8F0,,EXACT_DUPLICATE
PAY006278,C0639,A1378,POL0798,984.75,ZAR,2026-06-13,EFT,COMPLETED,PAYREF58E895716C,,EXACT_DUPLICATE
PAY009220,C0479,A0404,POL0121,1287.94,ZAR,2026-04-27,CASH,PENDING,PAYREFB359E825D9,,EXACT_DUPLICATE
PAY003953,C0103,A0947,POL0200,746.8,ZAR,2025-04-12,CARD,COMPLETED,PAYREFFF23FD117B,,EXACT_DUPLICATE
PAY005883,C0644,A0421,,2890.25,ZAR,2024-05-07,CASH,COMPLETED,PAYREFE5C58723BA,,EXACT_DUPLICATE
PAY000583,C0090,A0189,,772.86,ZAR,2025-11-30,CARD,COMPLETED,PAYREF5C3FA783C4,,EXACT_DUPLICATE
PAY002115,C0261,A0162,,626.46,ZAR,2024-03-13,MOBILE,COMPLETED,PAYREF5334A121B8,,EXACT_DUPLICATE
PAY000875,C0877,A0653,POL0714,411.57,ZAR,2024-11-13,CARD,COMPLETED,PAYREF26644D13F5,,EXACT_DUPLICATE
PAY004500,C0050,A0471,,643.48,ZAR,2024-11-01,CARD,COMPLETED,PAYREFA49DCC9691,,EXACT_DUPLICATE
PAY007989,C0114,A0179,POL0169,215.43,ZAR,2026-07-06,EFT,COMPLETED,PAYREF83DC87FAAB,,EXACT_DUPLICATE
PAY009362,C0542,A1242,,2544.89,ZAR,2024-06-03,EFT,COMPLETED,PAYREF51A8465748,,EXACT_DUPLICATE
PAY008240,C0040,A0751,,9430.73,ZAR,2026-05-18,CARD,COMPLETED,PAYREFD2D8BF40BC,,EXACT_DUPLICATE
PAY008904,C0232,A1006,POL0767,4010.91,ZAR,2026-06-12,DEBIT_ORDER,COMPLETED,PAYREFA6EB568D5D,,EXACT_DUPLICATE
PAY009618,C0330,A1335,POL0688,2633.03,ZAR,2025-09-18,DEBIT_ORDER,COMPLETED,PAYREF9D478DFA1F,,EXACT_DUPLICATE
PAY007622,C0070,A0295,POL0568,1777.15,ZAR,2025-08-04,CASH,COMPLETED,PAYREFE5ED2B7FC5,,EXACT_DUPLICATE
PAY001906,C0252,A0874,POL0580,907.84,ZAR,2024-01-12,DEBIT_ORDER,COMPLETED,PAYREF2FB2D77383,,EXACT_DUPLICATE
PAY005238,C0752,A0761,POL0704,652.38,ZAR,2026-02-11,EFT,COMPLETED,PAYREFD25019083D,,EXACT_DUPLICATE
PAY006235,C0084,A0905,POL0057,1692.65,ZAR,2025-06-23,CARD,PENDING,PAYREF00B4C3362E,,EXACT_DUPLICATE
PAY008867,C0421,A1149,POL0033,1800.36,ZAR,2024-01-18,CASH,COMPLETED,PAYREF85BB8FA641,,EXACT_DUPLICATE
PAY002886,C0926,A0914,POL0576,1556.11,ZAR,2024-07-18,DEBIT_ORDER,FAILED,PAYREF5356111450,Invalid account,EXACT_DUPLICATE
PAY003259,C0051,A1225,POL0336,2401.81,ZAR,2024-07-04,CARD,COMPLETED,PAYREF225EEE12DF,,EXACT_DUPLICATE
PAY009855,C0652,A0896,POL0704,1488.98,ZAR,2025-08-23,CASH,COMPLETED,PAYREF811F7A7AC7,,EXACT_DUPLICATE
PAY007862,C0952,A0699,,1814.51,ZAR,2025-02-09,EFT,COMPLETED,PAYREF912BB442D1,,EXACT_DUPLICATE
PAY005931,C0417,A0592,,4732.64,ZAR,2024-08-11,DEBIT_ORDER,COMPLETED,PAYREFDB403ECB51,,EXACT_DUPLICATE
PAY000408,C0647,A0712,POL0022,534.5,ZAR,2025-09-14,CASH,COMPLETED,PAYREF3379C1F1BE,,EXACT_DUPLICATE
PAY009756,C0402,A0113,POL0370,1325.18,ZAR,2024-08-18,CASH,COMPLETED,PAYREF61AD870E2E,,DUPLICATE_KEY_payment_id
PAY000736,C0669,A0166,,1693.28,ZAR,2025-06-09,CARD,COMPLETED,PAYREF15F5F4D820,,DUPLICATE_KEY_payment_id
PAY000770,C0337,A1146,,2161.04,XXX,2025-01-05,EFT,COMPLETED,PAYREF8D5525B418,,DUPLICATE_KEY_payment_id
PAY008130,C0617,A0103,,262.76,ZAR,2025-11-27,CASH,COMPLETED,PAYREF203884749C,,DUPLICATE_KEY_payment_id
PAY000886,C0230,A0739,,1163.45,ZAR,2024-01-23,EFT,COMPLETED,PAYREF952EC6AC23,,DUPLICATE_KEY_payment_id
PAY000044,C0240,A0168,POL0083,1613.39,ZAR,2025-09-08,CASH,COMPLETED,PAYREFEF664AF030,,DUPLICATE_KEY_payment_id
PAY003910,C0355,A0657,POL0241,,ZAR,2024-04-17,MOBILE,COMPLETED,PAYREFBAB6DFB65B,,DUPLICATE_KEY_payment_id
PAY009570,C0143,A0963,POL0567,,ZAR,2026-07-02,DEBIT_ORDER,COMPLETED,PAYREF65C54EF624,,DUPLICATE_KEY_payment_id
PAY007573,C0042,A0193,POL0362,483.89,ZAR,2024-08-14,CASH,COMPLETED,PAYREFEC67642C0D,,DUPLICATE_KEY_payment_id
PAY003650,C0816,A0894,POL0039,339.72,ZAR,2024-04-24,EFT,FAILED,PAYREFBEBD6DD7E9,Technical error,DUPLICATE_KEY_payment_id
PAY009103,C0727,A0649,,709.45,ZAR,2026-01-24,CASH,COMPLETED,PAYREF2AE6F04FD8,,DUPLICATE_KEY_payment_id
PAY002751,C0941,A0303,,4799.73,ZAR,2024-01-22,MOBILE,COMPLETED,PAYREF4C1EC2888F,,DUPLICATE_KEY_payment_id
PAY003411,C0338,A1265,POL0088,552.31,USD,2025-07-08,CASH,COMPLETED,PAYREFC2D6A752A6,,DUPLICATE_KEY_payment_id
PAY008363,C0456,A1316,POL0127,,ZAR,2024-12-10,CASH,COMPLETED,PAYREF74621B777B,,DUPLICATE_KEY_payment_id
PAY007484,C0445,A0358,POL0309,895.81,ZAR,2025-02-24,MOBILE,COMPLETED,PAYREF58E67045DC,,DUPLICATE_KEY_payment_id
PAY003222,C0430,A0367,POL0574,3412.34,ZAR,2024-05-06,DEBIT_ORDER,COMPLETED,PAYREF52D6AADC77,,DUPLICATE_KEY_payment_id
PAY002203,C0190,A0490,,1565.92,ZAR,2026-03-16,DEBIT_ORDER,COMPLETED,PAYREFE473818FBB,,DUPLICATE_KEY_payment_id
PAY000040,UNKNOWN,A1347,POL0374,1874.01,ZAR,2026-02-06,CARD,COMPLETED,PAYREF4721BC2FC3,,BROKEN_FK_customer_id_to_customers
PAY000113,UNKNOWN,A0118,POL0215,1420.21,ZAR,2025-11-15,CARD,COMPLETED,PAYREF312875BB45,,BROKEN_FK_customer_id_to_customers
PAY000151,UNKNOWN,A1376,POL0720,947.88,ZAR,2026-02-14,MOBILE,FAILED,PAYREF14176EAA52,Account closed,BROKEN_FK_customer_id_to_customers
PAY000185,UNKNOWN,A0824,POL0643,2469.7,ZAR,2025-12-05,MOBILE,COMPLETED,PAYREF0AC62F8D56,,BROKEN_FK_customer_id_to_customers
PAY000248,UNKNOWN,A0701,,2649.42,ZAR,2026-01-28,CARD,COMPLETED,PAYREF56415C887A,,BROKEN_FK_customer_id_to_customers
PAY000267,UNKNOWN,A0008,POL0671,1338.07,ZAR,2025-12-25,MOBILE,COMPLETED,PAYREF4AB0DAA63C,,BROKEN_FK_customer_id_to_customers
PAY000286,UNKNOWN,A0373,POL0282,1887.05,ZAR,2025-10-12,DEBIT_ORDER,FAILED,PAYREF6C27FD2A40,Technical error,BROKEN_FK_customer_id_to_customers
PAY000462,UNKNOWN,A0263,,1788.49,ZAR,2025-03-29,MOBILE,COMPLETED,PAYREF498518211F,,BROKEN_FK_customer_id_to_customers
PAY000484,UNKNOWN,A0615,POL0039,2713.39,ZAR,2025-02-19,MOBILE,COMPLETED,PAYREF7689C8723F,,BROKEN_FK_customer_id_to_customers
PAY000587,UNKNOWN,A0757,POL0060,766.49,ZAR,2024-07-04,CARD,COMPLETED,PAYREFB410F4CE0B,,BROKEN_FK_customer_id_to_customers
PAY000637,UNKNOWN,A0040,POL0158,1765.23,ZAR,2025-03-26,MOBILE,COMPLETED,PAYREFB54784BEE4,,BROKEN_FK_customer_id_to_customers
PAY000715,UNKNOWN,A0999,,4134.8,ZAR,2025-01-28,CASH,COMPLETED,PAYREF109B6BC773,,BROKEN_FK_customer_id_to_customers
PAY000736,UNKNOWN,A0166,,1693.28,ZAR,2025-06-09,CARD,COMPLETED,PAYREF15F5F4D820,,BROKEN_FK_customer_id_to_customers
PAY000744,UNKNOWN,A0570,POL0789,6939.57,ZAR,2026-04-15,CASH,FAILED,PAYREFF6107B5E84,Account closed,BROKEN_FK_customer_id_to_customers
PAY000781,UNKNOWN,A0535,,1363.05,ZAR,2025-11-13,CARD,COMPLETED,PAYREFC289147C70,,BROKEN_FK_customer_id_to_customers
PAY000801,UNKNOWN,A1322,,200.88,ZAR,2026-04-11,EFT,REVERSED,PAYREFA28A276F0E,,BROKEN_FK_customer_id_to_customers
PAY000853,UNKNOWN,A0292,,432.42,ZAR,2026-03-09,DEBIT_ORDER,COMPLETED,PAYREF41B8FBBE67,,BROKEN_FK_customer_id_to_customers
PAY000886,UNKNOWN,A0739,,1163.45,ZAR,2024-01-23,EFT,COMPLETED,PAYREF952EC6AC23,,BROKEN_FK_customer_id_to_customers
PAY000900,UNKNOWN,A1403,,638.68,ZAR,2026-02-28,EFT,COMPLETED,PAYREFBE034A00B7,,BROKEN_FK_customer_id_to_customers
PAY000902,UNKNOWN,A0499,POL0184,441.42,ZAR,2024-02-27,CARD,COMPLETED,PAYREFBAF6369772,,BROKEN_FK_customer_id_to_customers
PAY001011,UNKNOWN,A1091,,438.87,ZAR,2024-09-22,DEBIT_ORDER,COMPLETED,PAYREF9339AFCAB5,,BROKEN_FK_customer_id_to_customers
PAY001015,UNKNOWN,A0926,,579.04,ZAR,2025-01-05,EFT,COMPLETED,PAYREFA49FB84128,,BROKEN_FK_customer_id_to_customers
PAY001084,UNKNOWN,A1271,POL0107,719.51,ZAR,2025-02-22,CARD,REVERSED,PAYREFA66B7960F2,,BROKEN_FK_customer_id_to_customers
PAY001133,UNKNOWN,A0771,POL0307,4641.23,ZAR,2025-08-16,EFT,COMPLETED,PAYREF57561207D8,,BROKEN_FK_customer_id_to_customers
PAY001217,UNKNOWN,A1303,POL0685,780.56,ZAR,2026-02-20,CASH,COMPLETED,PAYREFBCE13DDB23,,BROKEN_FK_customer_id_to_customers
PAY001239,UNKNOWN,A1294,POL0029,1691.8,ZAR,2024-04-24,EFT,PENDING,PAYREF90693A5C15,,BROKEN_FK_customer_id_to_customers
PAY001240,UNKNOWN,A1412,,318.54,ZAR,2025-02-16,MOBILE,COMPLETED,PAYREFE04B2A49F8,,BROKEN_FK_customer_id_to_customers
PAY001242,UNKNOWN,A0405,,957.32,ZAR,2024-10-06,EFT,COMPLETED,PAYREFC5D7E51D28,,BROKEN_FK_customer_id_to_customers
PAY001249,UNKNOWN,A0894,,2570.27,ZAR,2024-02-01,DEBIT_ORDER,COMPLETED,PAYREFFC42C25312,,BROKEN_FK_customer_id_to_customers
PAY001254,UNKNOWN,A0604,,287.11,ZAR,2026-08-23,MOBILE,FAILED,PAYREF01A25F3382,Insufficient funds,BROKEN_FK_customer_id_to_customers
PAY001274,UNKNOWN,A0935,POL0571,306.55,ZAR,2024-06-10,CARD,COMPLETED,PAYREFAAA04F3147,,BROKEN_FK_customer_id_to_customers
PAY001301,UNKNOWN,A1299,,1357.38,ZAR,2024-12-29,EFT,COMPLETED,PAYREFB0A9C37705,,BROKEN_FK_customer_id_to_customers
PAY001329,UNKNOWN,A1198,POL0327,344.78,ZAR,2026-05-07,MOBILE,COMPLETED,PAYREF980BF128A1,,BROKEN_FK_customer_id_to_customers
PAY001345,UNKNOWN,A0992,POL0416,1840.83,ZAR,2024-10-09,EFT,COMPLETED,PAYREFC5BF2D7D9E,,BROKEN_FK_customer_id_to_customers
PAY001359,UNKNOWN,A1119,POL0081,805.97,ZAR,2024-02-25,MOBILE,PENDING,PAYREF890669035A,,BROKEN_FK_customer_id_to_customers
PAY001458,UNKNOWN,A0596,POL0574,2827.24,ZAR,2025-10-15,CARD,FAILED,PAYREF43839E2ACF,Invalid account,BROKEN_FK_customer_id_to_customers
PAY001484,UNKNOWN,A0132,POL0187,2837.82,ZAR,2026-09-08,CASH,FAILED,PAYREF7F6915DCB5,Invalid account,BROKEN_FK_customer_id_to_customers
PAY001556,UNKNOWN,A0743,,6939.57,ZAR,2025-08-13,MOBILE,FAILED,PAYREF5481C154BE,Invalid account,BROKEN_FK_customer_id_to_customers
PAY001591,UNKNOWN,A0431,,3417.2,ZAR,2025-09-04,MOBILE,COMPLETED,PAYREFE3B79B75B8,,BROKEN_FK_customer_id_to_customers
PAY001631,UNKNOWN,A1217,,960.33,ZAR,2026-09-05,CASH,COMPLETED,PAYREF864BBDDA70,,BROKEN_FK_customer_id_to_customers
PAY001691,UNKNOWN,A1278,POL0572,300.05,ZAR,2026-02-13,DEBIT_ORDER,COMPLETED,PAYREFB556306992,,BROKEN_FK_customer_id_to_customers
PAY001738,UNKNOWN,A0420,POL0021,1812.98,ZAR,2025-02-16,DEBIT_ORDER,COMPLETED,PAYREF68923A0014,,BROKEN_FK_customer_id_to_customers
PAY001785,UNKNOWN,A0832,POL0114,776.96,ZAR,2026-08-24,EFT,PENDING,PAYREFE294D7303A,,BROKEN_FK_customer_id_to_customers
PAY001787,UNKNOWN,A0126,POL0056,961.51,ZAR,2024-06-09,DEBIT_ORDER,COMPLETED,PAYREFF45F4CE604,,BROKEN_FK_customer_id_to_customers
PAY001805,UNKNOWN,A1095,POL0777,1059.39,ZAR,2025-06-06,CARD,FAILED,PAYREFF7C08472EC,Technical error,BROKEN_FK_customer_id_to_customers
PAY001807,UNKNOWN,A1130,,1792.15,ZAR,2026-04-15,EFT,COMPLETED,PAYREF4AF3EBB31E,,BROKEN_FK_customer_id_to_customers
PAY001879,UNKNOWN,A0240,,217.47,ZAR,2024-05-02,EFT,COMPLETED,PAYREF820D5EEFE3,,BROKEN_FK_customer_id_to_customers
PAY001900,UNKNOWN,A0207,POL0709,3695.51,ZAR,2026-02-22,CASH,COMPLETED,PAYREF2BE5EDFA52,,BROKEN_FK_customer_id_to_customers
PAY001919,UNKNOWN,A0107,POL0087,327.85,ZAR,2026-05-20,CARD,COMPLETED,PAYREF4691B57C8F,,BROKEN_FK_customer_id_to_customers
PAY001964,UNKNOWN,A1476,POL0708,3265.96,ZAR,2026-07-20,MOBILE,COMPLETED,PAYREF84D92E8C32,,BROKEN_FK_customer_id_to_customers
PAY001974,UNKNOWN,A1111,POL0089,1393.36,ZAR,2024-08-11,EFT,COMPLETED,PAYREFB883781748,,BROKEN_FK_customer_id_to_customers
PAY002064,UNKNOWN,A0249,POL0732,512.29,ZAR,2024-08-25,CASH,COMPLETED,PAYREFF89B2ED76E,,BROKEN_FK_customer_id_to_customers
PAY002082,UNKNOWN,A0074,POL0327,1107.66,ZAR,2024-08-06,DEBIT_ORDER,PENDING,PAYREFFC35F63F28,,BROKEN_FK_customer_id_to_customers
PAY002087,UNKNOWN,A0937,,3203.82,ZAR,2024-05-17,MOBILE,PENDING,PAYREF1C3B903489,,BROKEN_FK_customer_id_to_customers
PAY002126,UNKNOWN,A1097,,362.73,ZAR,2024-10-18,CASH,COMPLETED,PAYREFE97C817E2C,,BROKEN_FK_customer_id_to_customers
PAY002147,UNKNOWN,A1203,,792.8,ZAR,2026-05-16,EFT,COMPLETED,PAYREF0445D25E74,,BROKEN_FK_customer_id_to_customers
PAY002151,UNKNOWN,A0098,,1718.75,ZAR,2024-08-31,CASH,COMPLETED,PAYREFCD0C65667F,,BROKEN_FK_customer_id_to_customers
PAY002162,UNKNOWN,A0189,POL0131,348.43,ZAR,2025-10-23,CASH,COMPLETED,PAYREF608559EFE7,,BROKEN_FK_customer_id_to_customers
PAY002203,UNKNOWN,A0490,,1565.92,ZAR,2026-03-16,DEBIT_ORDER,COMPLETED,PAYREFE473818FBB,,BROKEN_FK_customer_id_to_customers
