policy_id,customer_id,policy_type,status,start_date,end_date,premium_amount,cover_amount,currency,payment_frequency,beneficiary_count,underwriting_status
POL0057,C0267,RETIREMENT,LAPSED,2020-03-12,2050-03-05,6665.58,523747.09,ZAR,MONTHLY,2,SUBSTANDARD
POL0058,C0745,INVESTMENT,LAPSED,2022-08-31,2027-08-30,6356.69,172066.25,ZAR,QUARTERLY,2,STANDARD
POL0059,C0249,SHORT_TERM,MATURED,2018-03-22,2038-03-17,888.73,166335.48,ZAR,QUARTERLY,3,PREFERRED
POL0060,C0389,FUNERAL,ACTIVE,2026-03-07,2036-03-04,87.35,70904.78,ZAR,QUARTERLY,3,SUBSTANDARD
POL0061,C0285,INVESTMENT,ACTIVE,2019-10-23,2044-10-16,6702.46,119116.81,ZAR,ANNUALLY,3,STANDARD
POL0062,C0177,FUNERAL,LAPSED,2015-03-12,2020-03-10,107.11,84132.02,ZAR,ANNUALLY,1,SUBSTANDARD
POL0063,C0897,RETIREMENT,ACTIVE,2019-06-23,2039-06-18,19385.45,1452063.27,ZAR,MONTHLY,2,STANDARD
POL0064,C0470,LIFE,ACTIVE,2022-06-15,2027-06-14,3402.26,1656663.5,ZAR,QUARTERLY,2,STANDARD
POL0065,C0474,LIFE,ACTIVE,2023-01-23,2028-01-22,4332.75,1937679.57,ZAR,MONTHLY,4,SUBSTANDARD
POL0066,C0452,RETIREMENT,PAID_UP,2015-07-19,2045-07-11,11670.4,267465.41,ZAR,MONTHLY,5,SUBSTANDARD
POL0067,C0592,INVESTMENT,ACTIVE,2020-07-21,2030-07-19,-13067.65,580688.0,ZAR,QUARTERLY,5,STANDARD
POL0068,C0982,SHORT_TERM,MATURED,2017-03-24,2022-03-23,386.27,1170644.62,ZAR,MONTHLY,5,STANDARD
POL0069,C0693,SHORT_TERM,MATURED,2021-01-10,2041-01-05,626.05,319243.03,ZAR,MONTHLY,1,STANDARD
POL0070,C0518,FUNERAL,ACTIVE,2022-03-13,2047-03-07,126.42,57295.6,ZAR,QUARTERLY,1,DECLINED
POL0071,C0437,LIFE,LAPSED,2019-05-19,2034-05-15,2372.83,646122.05,ZAR,MONTHLY,5,PREFERRED
POL0072,C0003,SHORT_TERM,ACTIVE,2025-10-08,2050-10-02,2834.7,1793940.87,ZAR,MONTHLY,2,PREFERRED
POL0073,C0231,INVESTMENT,ACTIVE,2020-10-20,2025-10-19,19711.84,460093.67,ZAR,QUARTERLY,2,STANDARD
POL0074,,LIFE,LAPSED,2021-04-03,2041-03-29,398.81,46633.75,ZAR,QUARTERLY,4,STANDARD
POL0075,C0596,RETIREMENT,MATURED,2022-01-22,2042-01-17,22457.9,1446466.85,ZAR,MONTHLY,1,STANDARD
POL0076,C0455,RETIREMENT,ACTIVE,2024-10-22,2044-10-17,1259.45,33137.06,ZAR,ANNUALLY,1,PREFERRED
POL0077,C0755,HEALTH,ACTIVE,2017-02-15,2022-02-14,7863.24,387946.87,ZAR,QUARTERLY,4,STANDARD
POL0078,C0715,LIFE,ACTIVE,2016-07-11,2036-07-06,792.76,154162.17,ZAR,QUARTERLY,4,PREFERRED
POL0079,C0703,SHORT_TERM,ACTIVE,2026-06-06,2056-05-29,1042.26,1478249.0,ZAR,QUARTERLY,4,STANDARD
POL0080,C0615,RETIREMENT,ACTIVE,2021-09-01,2031-08-30,12830.46,1262549.24,ZAR,QUARTERLY,3,STANDARD
POL0081,C0930,INVESTMENT,LAPSED,2019-04-17,2029-04-14,16002.54,562235.48,ZAR,MONTHLY,3,STANDARD
POL0082,C0195,INVESTMENT,CANCELLED,2020-02-29,2035-02-25,14462.1,712549.86,ZAR,ANNUALLY,2,STANDARD
POL0083,C0398,SHORT_TERM,LAPSED,2022-05-15,2027-05-14,2087.17,364217.78,ZAR,ANNUALLY,3,STANDARD
POL0084,C0303,LIFE,ACTIVE,2019-07-11,2049-07-03,4752.94,1521905.52,ZAR,ANNUALLY,5,STANDARD
POL0085,C0749,FUNERAL,CANCELLED,2015-08-10,2035-08-05,224.26,89182.04,ZAR,MONTHLY,3,STANDARD
POL0086,C0293,RETIREMENT,ACTIVE,2021-01-13,2051-01-06,10881.38,518767.55,ZAR,MONTHLY,5,STANDARD
POL0087,C0857,RETIREMENT,ACTIVE,2021-01-22,2046-01-16,27194.93,2569592.67,ZAR,MONTHLY,4,PREFERRED
POL0088,C0128,SHORT_TERM,CANCELLED,2023-10-18,2043-10-13,2095.6,266128.25,ZAR,MONTHLY,5,PREFERRED
POL0089,C0150,INVESTMENT,CANCELLED,2016-12-08,2026-12-06,3863.46,51628.26,ZAR,MONTHLY,4,PREFERRED
POL0090,C0093,FUNERAL,ACTIVE,2015-07-30,2040-07-23,147.04,82943.71,ZAR,MONTHLY,1,STANDARD
POL0091,C0181,LIFE,LAPSED,2023-11-20,2038-11-16,2793.33,1175797.52,ZAR,QUARTERLY,2,STANDARD
POL0092,C0235,INVESTMENT,ACTIVE,2017-04-25,2022-04-24,14916.02,198169.75,ZAR,MONTHLY,1,SUBSTANDARD
POL0093,C0408,FUNERAL,CANCELLED,2022-07-27,2047-07-21,108.0,86487.02,ZAR,MONTHLY,4,PREFERRED
POL0094,C0926,HEALTH,ACTIVE,2018-03-22,2038-03-17,5294.5,1573484.68,ZAR,ANNUALLY,4,STANDARD
POL0095,C0657,SHORT_TERM,CANCELLED,2021-06-18,2031-06-16,2192.23,970359.95,ZAR,QUARTERLY,3,PREFERRED
POL0096,C0511,FUNERAL,ACTIVE,2015-02-12,2045-02-04,150.84,23117.28,ZAR,ANNUALLY,3,STANDARD
POL0097,C0249,INVESTMENT,CANCELLED,2022-11-22,2037-11-18,14712.95,698614.12,ZAR,MONTHLY,1,SUBSTANDARD
POL0098,C0366,SHORT_TERM,ACTIVE,2016-03-09,2026-03-07,1630.35,385598.55,ZAR,MONTHLY,1,SUBSTANDARD
POL0099,C0433,INVESTMENT,ACTIVE,2016-11-12,2041-11-06,8663.46,426679.7,ZAR,ANNUALLY,3,PREFERRED
POL0100,C0723,FUNERAL,ACTIVE,2022-08-23,2052-08-15,98.0,82917.86,ZAR,QUARTERLY,3,SUBSTANDARD
POL0101,C0718,HEALTH,LAPSED,2021-01-28,2046-01-22,5883.53,1103586.52,ZAR,ANNUALLY,3,SUBSTANDARD
POL0102,C0718,LIFE,ACTIVE,2020-04-19,2030-04-17,3026.88,730844.34,ZAR,MONTHLY,1,STANDARD
POL0103,C0058,RETIREMENT,ACTIVE,2022-09-09,2047-09-03,,62606.36,ZAR,ANNUALLY,2,STANDARD
POL0104,C0970,FUNERAL,CANCELLED,2021-10-21,2051-10-14,157.9,13153.57,ZAR,MONTHLY,5,DECLINED
POL0105,C0177,RETIREMENT,CANCELLED,2020-08-12,2045-08-06,26219.94,970820.86,ZAR,ANNUALLY,2,SUBSTANDARD
POL0106,C0628,LIFE,CANCELLED,2026-04-08,2031-04-07,4097.83,1913416.46,ZAR,MONTHLY,2,STANDARD
POL0107,C0398,SHORT_TERM,ACTIVE,2021-04-12,2026-04-11,1531.07,361008.89,ZAR,QUARTERLY,4,STANDARD
POL0108,C0587,HEALTH,ACTIVE,2025-12-04,2050-11-28,4061.98,3668745.63,ZAR,ANNUALLY,5,STANDARD
POL0109,C0871,RETIREMENT,ACTIVE,2019-05-13,2034-05-09,14873.98,855242.05,ZAR,MONTHLY,3,STANDARD
POL0110,C0220,FUNERAL,ACTIVE,2024-03-01,2034-02-27,253.96,37211.54,ZAR,QUARTERLY,3,SUBSTANDARD
POL0111,C0081,HEALTH,LAPSED,2020-02-04,2025-02-02,4986.51,3772890.96,ZAR,MONTHLY,2,SUBSTANDARD
POL0112,C0572,SHORT_TERM,ACTIVE,2024-04-13,2049-04-07,1118.19,891970.75,ZAR,MONTHLY,4,STANDARD
POL0113,C0474,FUNERAL,ACTIVE,2020-12-26,2050-12-19,353.31,42501.87,ZAR,MONTHLY,3,SUBSTANDARD
POL0114,C0837,RETIREMENT,ACTIVE,2026-02-02,2041-01-29,25379.07,1018873.04,ZAR,MONTHLY,4,PREFERRED
POL0115,C0426,HEALTH,ACTIVE,2023-04-21,2043-04-16,5622.22,3628673.45,ZAR,MONTHLY,3,DECLINED
POL0116,C0382,SHORT_TERM,LAPSED,2024-01-11,2034-01-08,1676.02,621821.56,ZAR,ANNUALLY,4,PREFERRED
POL0117,C0676,RETIREMENT,LAPSED,2025-07-07,2040-07-03,12657.25,401810.37,ZAR,QUARTERLY,5,STANDARD
POL0118,,SHORT_TERM,PAID_UP,2020-02-02,2045-01-26,2773.6,315370.88,ZAR,ANNUALLY,1,STANDARD
POL0119,C0413,HEALTH,ACTIVE,2018-05-12,2043-05-06,-2292.56,2974616.92,ZAR,MONTHLY,3,STANDARD
POL0120,C0551,SHORT_TERM,ACTIVE,2021-03-21,2041-03-16,380.93,1461019.8,ZAR,ANNUALLY,1,DECLINED
POL0121,C0383,INVESTMENT,ACTIVE,2024-09-23,2034-09-21,16769.26,247736.23,ZAR,QUARTERLY,4,STANDARD
POL0122,C0331,SHORT_TERM,CANCELLED,2020-04-09,2045-04-03,899.78,1594793.47,ZAR,ANNUALLY,5,STANDARD
POL0123,C0936,SHORT_TERM,MATURED,2021-10-14,2026-10-13,2645.09,1435094.44,ZAR,ANNUALLY,5,SUBSTANDARD
POL0124,C0144,LIFE,ACTIVE,2021-07-27,2036-07-23,2446.22,274507.27,ZAR,MONTHLY,1,STANDARD
POL0125,C0373,RETIREMENT,ACTIVE,2019-08-12,2049-08-04,8852.83,177430.07,ZAR,ANNUALLY,5,PREFERRED
POL0126,C0953,LIFE,ACTIVE,2018-11-19,2043-11-13,2681.04,1078892.29,ZAR,ANNUALLY,5,PREFERRED
POL0127,C0044,HEALTH,MATURED,2021-02-25,2036-02-22,7238.72,4385526.81,ZAR,QUARTERLY,3,STANDARD
POL0128,C0778,LIFE,ACTIVE,2024-04-08,2039-04-05,3354.39,1171968.59,ZAR,QUARTERLY,1,STANDARD
POL0129,C0277,RETIREMENT,LAPSED,2025-04-22,2045-04-17,6651.8,421073.48,ZAR,MONTHLY,1,DECLINED
POL0130,C0339,INVESTMENT,ACTIVE,2020-06-30,2025-06-29,18050.75,352414.43,ZAR,ANNUALLY,5,STANDARD
POL0131,C0104,FUNERAL,ACTIVE,2016-01-27,2036-01-22,382.17,35569.81,ZAR,QUARTERLY,4,STANDARD
POL0132,C0296,SHORT_TERM,ACTIVE,2021-11-21,2026-11-20,1002.26,1907525.57,ZAR,QUARTERLY,1,STANDARD
POL0133,C0528,LIFE,ACTIVE,2016-12-12,2021-12-11,2408.29,1087780.66,ZAR,ANNUALLY,3,PREFERRED
POL0134,C0726,SHORT_TERM,ACTIVE,2021-01-23,2046-01-17,510.47,568951.83,ZAR,MONTHLY,5,STANDARD
POL0135,C0139,RETIREMENT,CANCELLED,2016-03-01,2026-02-27,19887.23,411728.55,ZAR,QUARTERLY,1,STANDARD
POL0136,C0903,LIFE,ACTIVE,2017-01-16,2032-01-13,2040.85,602448.66,ZAR,MONTHLY,2,SUBSTANDARD
POL0137,C0893,LIFE,ACTIVE,2020-05-20,2040-05-15,3495.38,1056632.84,ZAR,MONTHLY,5,STANDARD
POL0138,C0694,RETIREMENT,ACTIVE,2018-07-15,2028-07-12,8980.55,859989.82,ZAR,QUARTERLY,4,STANDARD
POL0139,C0303,SHORT_TERM,LAPSED,2025-04-27,2050-04-21,1938.83,1461461.88,ZAR,MONTHLY,4,STANDARD
POL0140,C0431,INVESTMENT,ACTIVE,2024-03-01,2034-02-27,9202.58,342759.33,ZAR,QUARTERLY,3,STANDARD
POL0141,C0511,RETIREMENT,ACTIVE,2015-11-10,2025-11-07,16825.29,923813.22,ZAR,ANNUALLY,3,STANDARD
POL0142,C0087,FUNERAL,ACTIVE,2021-04-18,2026-04-17,247.04,94766.61,ZAR,QUARTERLY,5,STANDARD
POL0143,C0568,INVESTMENT,CANCELLED,2026-07-20,2056-07-12,1895.54,38975.66,ZAR,QUARTERLY,5,STANDARD
POL0144,C0566,INVESTMENT,ACTIVE,2016-12-31,2036-12-26,16547.29,367675.96,ZAR,MONTHLY,5,SUBSTANDARD
POL0145,C0440,LIFE,LAPSED,2017-11-25,2042-11-19,1508.55,286873.14,ZAR,ANNUALLY,3,SUBSTANDARD
POL0146,C0549,RETIREMENT,ACTIVE,2016-01-28,2026-01-25,23839.26,1098017.89,ZAR,QUARTERLY,3,STANDARD
POL0147,C0816,INVESTMENT,LAPSED,2022-03-04,2032-03-01,11325.68,141069.21,ZAR,ANNUALLY,2,STANDARD
POL0148,C0586,LIFE,ACTIVE,2024-06-01,2034-05-30,2978.88,1077104.41,ZAR,ANNUALLY,5,STANDARD
POL0149,C0713,LIFE,ACTIVE,2016-10-09,2031-10-06,2214.53,1037069.63,ZAR,QUARTERLY,5,STANDARD
POL0150,C0116,SHORT_TERM,PAID_UP,2020-09-28,2050-09-21,1395.82,1443333.35,ZAR,MONTHLY,4,STANDARD
POL0151,C0055,INVESTMENT,LAPSED,2023-06-21,2053-06-13,3875.05,66964.92,ZAR,QUARTERLY,2,SUBSTANDARD
POL0152,C0842,FUNERAL,ACTIVE,2020-05-23,2050-05-16,262.5,42706.91,ZAR,MONTHLY,4,STANDARD
POL0153,C0915,INVESTMENT,CANCELLED,2025-02-01,2030-01-31,3713.88,105999.93,ZAR,ANNUALLY,2,STANDARD
POL0154,C0643,FUNERAL,LAPSED,2022-10-26,2052-10-18,467.13,18928.03,ZAR,QUARTERLY,3,PREFERRED
POL0155,C0260,HEALTH,LAPSED,2024-06-11,2044-06-06,2710.44,2676296.8,ZAR,QUARTERLY,5,STANDARD
POL0156,C0415,LIFE,MATURED,2019-02-02,2049-01-25,1381.26,281614.51,ZAR,QUARTERLY,1,PREFERRED
POL0157,C0157,HEALTH,ACTIVE,2018-03-17,2048-03-09,5958.24,4421930.75,ZAR,ANNUALLY,5,STANDARD
POL0158,C0642,INVESTMENT,ACTIVE,2015-12-14,2040-12-07,5201.47,209746.73,ZAR,ANNUALLY,1,STANDARD
POL0159,C0132,INVESTMENT,ACTIVE,2022-10-03,2027-10-02,6247.17,83712.43,ZAR,QUARTERLY,5,SUBSTANDARD
POL0160,C0588,LIFE,PAID_UP,2019-07-28,2024-07-26,1857.48,516501.68,ZAR,QUARTERLY,3,STANDARD
POL0161,C0445,INVESTMENT,LAPSED,2020-08-06,2045-07-31,17802.0,867047.89,ZAR,ANNUALLY,1,STANDARD
POL0162,C0909,FUNERAL,ACTIVE,2021-10-05,2026-10-04,231.35,82476.46,ZAR,ANNUALLY,1,STANDARD
POL0163,C0340,FUNERAL,LAPSED,2025-03-07,2030-03-06,351.67,53999.02,ZAR,QUARTERLY,3,STANDARD
POL0164,C0259,LIFE,ACTIVE,2025-09-19,2035-09-17,4038.9,601868.65,ZAR,MONTHLY,3,SUBSTANDARD
POL0165,C0275,FUNERAL,ACTIVE,2020-10-02,2050-09-25,344.39,65050.27,ZAR,QUARTERLY,3,STANDARD
POL0166,C0774,RETIREMENT,ACTIVE,2025-11-13,2040-11-09,5980.86,350939.65,ZAR,ANNUALLY,3,STANDARD
POL0167,C0442,HEALTH,ACTIVE,2016-08-25,2021-08-24,5468.11,199574.75,ZAR,QUARTERLY,2,STANDARD
POL0168,C0111,LIFE,ACTIVE,2016-12-26,2021-12-25,631.06,78538.34,ZAR,QUARTERLY,3,STANDARD
POL0169,C0408,LIFE,CANCELLED,2016-07-13,2041-07-07,1472.7,223299.3,ZAR,MONTHLY,1,STANDARD
POL0170,C0795,HEALTH,ACTIVE,2026-09-11,2046-09-06,1255.71,3454436.49,ZAR,QUARTERLY,5,STANDARD
POL0171,C0367,FUNERAL,LAPSED,2022-04-10,2052-04-02,62.83,14925.45,ZAR,ANNUALLY,2,SUBSTANDARD
POL0172,C0944,SHORT_TERM,MATURED,2020-01-05,2039-12-31,2485.7,914957.12,ZAR,QUARTERLY,4,STANDARD
POL0173,C0317,INVESTMENT,ACTIVE,2021-06-13,2046-06-07,4457.55,196513.04,ZAR,ANNUALLY,4,STANDARD
POL0174,C0926,FUNERAL,ACTIVE,2015-11-30,2030-11-26,257.37,73548.89,ZAR,MONTHLY,5,STANDARD
POL0175,C0381,LIFE,LAPSED,2024-04-03,2054-03-27,969.96,181790.03,ZAR,MONTHLY,4,STANDARD
POL0176,C0831,HEALTH,ACTIVE,2018-08-23,2038-08-18,6059.63,2156734.24,ZAR,QUARTERLY,5,STANDARD
POL0177,C0877,LIFE,ACTIVE,2023-01-26,2048-01-20,1104.34,387405.16,ZAR,MONTHLY,5,SUBSTANDARD
POL0178,C0144,FUNERAL,ACTIVE,2021-04-04,2051-03-28,437.8,74960.37,ZAR,QUARTERLY,2,STANDARD
POL0179,C0941,INVESTMENT,LAPSED,2018-12-13,2048-12-05,18405.74,608796.39,ZAR,ANNUALLY,2,PREFERRED
POL0180,C0005,SHORT_TERM,ACTIVE,2023-01-07,2033-01-04,2741.9,264597.46,ZAR,QUARTERLY,4,STANDARD
POL0181,C0543,FUNERAL,ACTIVE,2020-05-27,2040-05-22,142.82,71994.23,ZAR,ANNUALLY,5,DECLINED
POL0182,C0066,INVESTMENT,ACTIVE,2019-05-08,2034-05-04,524.89,7959.52,ZAR,ANNUALLY,1,STANDARD
POL0183,C0528,HEALTH,ACTIVE,2015-03-04,2025-03-01,3058.59,3065879.06,ZAR,QUARTERLY,5,STANDARD
POL0184,C0859,INVESTMENT,ACTIVE,2016-04-27,2046-04-20,5711.16,246475.04,ZAR,QUARTERLY,2,DECLINED
POL0185,C0852,INVESTMENT,ACTIVE,2018-07-11,2028-07-08,18671.34,786348.51,ZAR,QUARTERLY,1,STANDARD
POL0186,C0758,HEALTH,LAPSED,2016-08-22,2021-08-21,5540.71,3139782.37,ZAR,MONTHLY,3,STANDARD
POL0187,C0655,LIFE,ACTIVE,2023-03-15,2028-03-13,3322.31,1058457.11,ZAR,MONTHLY,5,SUBSTANDARD
POL0188,C0851,HEALTH,ACTIVE,2015-02-18,2025-02-15,-2182.89,369541.62,ZAR,QUARTERLY,2,SUBSTANDARD
POL0189,C0017,HEALTH,ACTIVE,2024-11-17,2054-11-10,3441.18,4936723.52,ZAR,ANNUALLY,4,PREFERRED
POL0190,C0116,FUNERAL,ACTIVE,2024-09-20,2044-09-15,76.65,96806.19,ZAR,MONTHLY,3,STANDARD
POL0191,C0422,SHORT_TERM,PAID_UP,2018-03-21,2028-03-18,,1908406.19,ZAR,MONTHLY,4,STANDARD
POL0192,C0690,HEALTH,ACTIVE,2017-03-30,2022-03-29,809.66,2885314.23,ZAR,ANNUALLY,5,STANDARD
POL0193,C0378,HEALTH,ACTIVE,2019-11-24,2039-11-19,5675.07,775320.26,ZAR,QUARTERLY,5,STANDARD
POL0194,C0720,LIFE,ACTIVE,2016-12-25,2031-12-22,-555.27,224160.78,ZAR,MONTHLY,5,STANDARD
POL0195,C0986,FUNERAL,ACTIVE,2015-12-13,2035-12-08,259.35,58697.49,ZAR,ANNUALLY,1,SUBSTANDARD
POL0196,C0668,INVESTMENT,PAID_UP,2017-03-06,2022-03-05,13363.25,212713.28,ZAR,MONTHLY,5,STANDARD
POL0197,C0118,SHORT_TERM,ACTIVE,2018-06-05,2033-06-01,866.53,1603631.45,ZAR,ANNUALLY,1,STANDARD
POL0198,C0345,RETIREMENT,ACTIVE,2015-07-19,2045-07-11,-26837.87,2612403.61,ZAR,QUARTERLY,5,PREFERRED
POL0199,C0542,INVESTMENT,LAPSED,2018-04-25,2023-04-24,13133.49,370629.62,ZAR,QUARTERLY,4,SUBSTANDARD
POL0200,C0157,FUNERAL,LAPSED,2016-06-13,2021-06-12,62.59,20929.5,ZAR,ANNUALLY,1,STANDARD
POL0201,C0733,LIFE,ACTIVE,2021-10-14,2026-10-13,1842.94,550387.14,ZAR,ANNUALLY,4,STANDARD
POL0202,C0538,RETIREMENT,ACTIVE,2022-11-27,2027-11-26,17220.61,738631.36,ZAR,MONTHLY,3,SUBSTANDARD
