transaction_id,customer_id,account_id,amount,currency,transaction_date,transaction_time,transaction_type,description,channel,status,reference_number
TX000060,C0253,A1183,1053.41,ZAR,2024-09-21,11:48:15,INTEREST,Interest - Ref 432752,ONLINE,COMPLETED,REF9180DBC23C30
TX000061,C0011,A1211,2473.27,ZAR,2024-04-09,03:05:44,TRANSFER,Transfer - Ref 159510,POS,COMPLETED,REF5122CAF959F1
TX000062,C0779,A1420,95.63,ZAR,2026-09-12,17:16:26,TRANSFER,Transfer - Ref 810334,MOBILE,COMPLETED,REF6BF954F5E51D
TX000063,C0748,A1135,300.24,ZAR,2026-04-18,05:04:15,FEE,Fee - Ref 474305,ATM,COMPLETED,REF3D0C49E3EB23
TX000064,C0433,A1025,176.23,ZAR,2024-02-23,21:29:46,WITHDRAWAL,Withdrawal - Ref 828180,ONLINE,COMPLETED,REFFD0CC5162973
TX000065,,A1090,1388.85,ZAR,2026-06-17,01:56:09,PAYMENT,Payment - Ref 254976,BRANCH,COMPLETED,REF2B91B343E111
TX000066,C0122,A0318,310.02,ZAR,2026-08-29,15:42:59,FEE,Fee - Ref 240777,ONLINE,COMPLETED,REF2E6B5EB351DD
TX000067,C0557,A0608,6238.32,ZAR,2026-04-22,18:33:55,DEPOSIT,Deposit - Ref 607793,POS,COMPLETED,REFDDD4CFD256A8
TX000068,C0415,A0209,3538.18,ZAR,2024-03-06,09:30:43,DEPOSIT,Deposit - Ref 367790,MOBILE,COMPLETED,REF86BBA6D0B35C
TX000069,C0420,A0916,954.53,ZAR,2025-01-30,00:18:11,DEBIT_ORDER,Debit Order - Ref 712236,ONLINE,COMPLETED,REFB0405CC8FF20
TX000070,C0776,A0213,36066.86,ZAR,2026-07-29,08:43:30,REVERSAL,Reversal - Ref 932990,ATM,COMPLETED,REF5AAE06A5F7AF
TX000071,C0729,A0881,1150.95,ZAR,2025-04-14,05:31:21,TRANSFER,Transfer - Ref 661339,ONLINE,COMPLETED,REF63E2C45216BC
TX000072,C0625,A0296,679.58,ZAR,2025-03-09,14:55:53,DEPOSIT,Deposit - Ref 548641,MOBILE,COMPLETED,REFC331C6DE4A8F
TX000073,C0158,A1330,29504.53,ZAR,2025-07-08,16:29:30,REVERSAL,Reversal - Ref 446704,ONLINE,COMPLETED,REF5018ABB0C7F4
TX000074,C0922,A0529,37936.66,ZAR,2024-03-11,07:17:00,REVERSAL,Reversal - Ref 221159,POS,PENDING,REF37158366EDC1
TX000075,C0741,A0279,323.81,ZAR,2025-03-01,00:44:21,WITHDRAWAL,Withdrawal - Ref 731312,MOBILE,COMPLETED,REF688684D01F23
TX000076,C0939,A0682,906.0,ZAR,2025-12-16,18:13:16,TRANSFER,Transfer - Ref 495184,ATM,COMPLETED,REF49E1CE32060C
TX000077,C0379,A0056,8828.0,ZAR,2024-06-05,08:53:33,TRANSFER,Transfer - Ref 400252,ATM,COMPLETED,REF6458E3829163
TX000078,C0338,A0497,3596.65,ZAR,2025-11-16,11:26:07,INTEREST,Interest - Ref 173301,POS,COMPLETED,REF718FA17112E1
TX000079,C0563,A0824,4203.27,ZAR,2025-12-23,04:44:58,DEPOSIT,Deposit - Ref 351650,ATM,COMPLETED,REF033D383BAB3E
TX000080,C0040,A0954,132.2,ZAR,2025-11-04,13:21:39,PAYMENT,Payment - Ref 364580,MOBILE,COMPLETED,REFE46A143D6371
TX000081,C0969,A0476,2939.89,ZAR,2025-01-22,01:08:45,TRANSFER,Transfer - Ref 236877,MOBILE,PENDING,REFABAFE476CE2A
TX000082,C0363,A0495,452.56,ZAR,2024-02-24,06:53:28,WITHDRAWAL,Withdrawal - Ref 807985,ONLINE,PENDING,REF08ABFB3D0593
TX000083,C0214,A1333,3416.92,ZAR,2025-02-27,20:41:10,REVERSAL,Reversal - Ref 398077,ONLINE,COMPLETED,REF33057A153A2C
TX000084,C0260,A0722,948.38,ZAR,2024-03-05,03:08:40,INTEREST,Interest - Ref 180213,ONLINE,COMPLETED,REFE4CB4D7166DD
TX000085,C0154,A1007,1514.86,ZAR,2025-07-24,15:34:48,DEPOSIT,Deposit - Ref 936707,ONLINE,COMPLETED,REFF4056143E6BF
TX000086,C0599,A0159,349.99,ZAR,2024-11-01,11:39:55,FEE,Fee - Ref 635462,MOBILE,COMPLETED,REFFA7498AD9E20
TX000087,C0743,A0475,219.34,ZAR,2025-12-26,09:05:33,FEE,Fee - Ref 130117,ONLINE,COMPLETED,REF8D0158E126DA
TX000088,,A1394,5495.45,ZAR,2024-12-12,04:04:10,DEPOSIT,Deposit - Ref 794967,MOBILE,COMPLETED,REFFB90AE85949E
TX000089,C0579,A0887,3778.94,ZAR,2026-07-22,10:53:39,PAYMENT,Payment - Ref 385746,MOBILE,PENDING,REFACDA8E76A8BF
TX000090,C0305,,3352.75,ZAR,2024-06-28,17:32:56,DEBIT_ORDER,Debit Order - Ref 263912,POS,COMPLETED,REFBCCD457D48FE
TX000091,C0803,A0587,44177.24,ZAR,2024-12-02,04:02:15,REVERSAL,Reversal - Ref 183091,BRANCH,COMPLETED,REFCF987918A345
TX000092,C0292,A0344,4603.98,ZAR,2026-01-21,05:13:47,REVERSAL,Reversal - Ref 267082,POS,COMPLETED,REF9CF4894A4252
TX000093,C0125,A0886,2619.54,ZAR,2024-10-27,04:50:28,INTEREST,Interest - Ref 885354,MOBILE,COMPLETED,REF6DAC15AB82D8
TX000094,C0281,A0876,97.15,ZAR,2024-05-27,16:29:47,FEE,Fee - Ref 497115,POS,COMPLETED,REFF0007A0E8B15
TX000095,C0990,A0307,400.59,ZAR,2025-06-01,15:28:35,PAYMENT,Payment - Ref 337498,ATM,COMPLETED,REFE03E927EF8D4
TX000096,C0598,A0164,756.68,ZAR,2025-02-20,05:42:34,PAYMENT,Payment - Ref 338609,ATM,COMPLETED,REFA176059B2391
TX000097,C0073,A1297,407.57,ZAR,2026-02-11,20:45:23,FEE,Fee - Ref 603671,ONLINE,PENDING,REF42E7D1392720
TX000098,C0698,A0356,926.36,ZAR,2026-09-03,20:08:54,WITHDRAWAL,Withdrawal - Ref 943285,ATM,COMPLETED,REFBA10B8B0744E
TX000099,C0644,FAKE_97A4C13D,3535.66,ZAR,2024-02-27,08:21:13,PAYMENT,Payment - Ref 456156,MOBILE,COMPLETED,REFF802E310B994
TX000100,C0182,A0963,411.92,ZAR,2024-03-03,04:49:29,WITHDRAWAL,Withdrawal - Ref 331343,BRANCH,COMPLETED,REFC817769831E9
TX000101,C0653,A0260,2475.85,ZAR,2025-07-17,11:52:59,DEPOSIT,Deposit - Ref 949458,MOBILE,PENDING,REF5D8DE016B84D
TX000102,C0135,A0640,986.01,ZAR,2026-03-18,08:02:48,DEPOSIT,Deposit - Ref 862126,POS,COMPLETED,REF0830E47FD1A1
TX000103,C0292,A0692,261.01,ZAR,2026-07-19,13:33:38,DEBIT_ORDER,Debit Order - Ref 861733,ATM,COMPLETED,REF92691180885A
TX000104,C0204,A1186,44624.03,ZAR,2025-04-14,20:02:18,REVERSAL,Reversal - Ref 209325,ONLINE,COMPLETED,REFC1715106F3F9
TX000105,C0563,A1143,6116.77,ZAR,2025-01-03,18:26:40,TRANSFER,Transfer - Ref 922442,ATM,COMPLETED,REF1FEBE1BF4FBB
TX000106,C0210,A1321,11680.69,ZAR,2025-02-04,10:24:38,REVERSAL,Reversal - Ref 110652,ONLINE,FAILED,REFE9B697293BB7
TX000107,C0428,A1055,5583.04,ZAR,2026-02-03,21:27:31,DEBIT_ORDER,Debit Order - Ref 882353,ONLINE,COMPLETED,REFC4207C1BB267
TX000108,C0142,A0366,1622.92,ZAR,2026-09-14,22:10:18,TRANSFER,Transfer - Ref 670806,MOBILE,COMPLETED,REF75DB9373A1AD
TX000109,C0317,A0953,1498.92,ZAR,2025-11-06,13:57:10,REVERSAL,Reversal - Ref 350768,BRANCH,COMPLETED,REFF708955DB10A
TX000110,C0570,A0641,3656.42,ZAR,2026-09-08,05:26:17,DEBIT_ORDER,Debit Order - Ref 133317,MOBILE,COMPLETED,REF7FDB8EA7FB42
TX000111,C0730,A1137,107.13,ZAR,2024-03-28,04:45:03,FEE,Fee - Ref 336337,ATM,COMPLETED,REF8E241DF297EA
TX000112,C0417,A1048,1692.5,ZAR,2025-12-11,03:15:46,PAYMENT,Payment - Ref 629063,MOBILE,COMPLETED,REF202A11AC786C
TX000113,C0467,A0770,1563.81,GBP,2025-07-11,07:15:22,DEPOSIT,Deposit - Ref 544909,MOBILE,COMPLETED,REF9C917D11FCEF
TX000114,C0116,A1123,3109.12,ZAR,2024-02-09,17:43:01,TRANSFER,Transfer - Ref 222649,MOBILE,COMPLETED,REFFC8B026D0C6B
TX000115,,A0937,6944.07,ZAR,2026-05-07,06:20:25,DEBIT_ORDER,Debit Order - Ref 580650,ONLINE,COMPLETED,REF4C6183788CDA
TX000116,C0588,A0922,8326.75,ZAR,2026-02-24,14:04:20,REVERSAL,Reversal - Ref 499477,MOBILE,COMPLETED,REFF3C57A244106
TX000117,C0103,A1272,234.03,ZAR,2026-07-27,18:42:57,FEE,Fee - Ref 410184,MOBILE,COMPLETED,REF6F16653B62D2
TX000118,C0060,A1164,307.74,ZAR,2025-01-14,11:01:57,FEE,Fee - Ref 459245,MOBILE,COMPLETED,REF3AF71B413645
TX000119,C0219,A1410,678.68,ZAR,2025-12-28,20:05:28,INTEREST,Interest - Ref 220306,MOBILE,COMPLETED,REF1D7BB31A9DFA
TX000120,C0803,A0587,1713.44,ZAR,2025-07-26,07:39:22,TRANSFER,Transfer - Ref 268247,BRANCH,COMPLETED,REFDFAACDFDD8E0
TX000121,C0774,A1358,75.99,ZAR,2026-08-13,01:29:57,FEE,Fee - Ref 801219,ATM,COMPLETED,REF2BA35FD46009
TX000122,C0091,A1026,14251.87,ZAR,2026-03-04,02:25:41,DEPOSIT,Deposit - Ref 428555,ONLINE,COMPLETED,REF4DD832D97F04
TX000123,C0227,A1289,217.08,ZAR,2024-04-04,09:53:58,DEPOSIT,Deposit - Ref 492440,MOBILE,COMPLETED,REFBE8CA04D3791
TX000124,C0247,A0655,6781.15,ZAR,2024-03-02,06:02:50,DEPOSIT,Deposit - Ref 946025,BRANCH,COMPLETED,REFB1BB6D340A0E
TX000125,C0874,A0790,1217.38,ZAR,2025-04-19,06:01:32,DEBIT_ORDER,Debit Order - Ref 866143,ATM,COMPLETED,REF52AC050D41A7
TX000126,C0399,A0117,493.24,ZAR,2026-04-22,23:23:43,WITHDRAWAL,Withdrawal - Ref 999933,ONLINE,COMPLETED,REF17DBA1BB1267
TX000127,,A0188,3267.44,ZAR,2026-01-25,09:56:18,DEPOSIT,Deposit - Ref 110073,BRANCH,COMPLETED,REF16C8AE295748
TX000128,C0984,A0411,1175.42,ZAR,2025-10-21,00:36:16,INTEREST,Interest - Ref 194638,ONLINE,COMPLETED,REF286514595679
TX000129,C0855,A1130,100.98,ZAR,2025-01-05,22:53:42,PAYMENT,Payment - Ref 272769,MOBILE,COMPLETED,REF3E6C9A7D6D3E
TX000130,C0421,A1194,842.52,ZAR,2025-12-25,00:18:59,PAYMENT,Payment - Ref 957000,MOBILE,PENDING,REF23F0076D5FE5
TX000131,C0906,A0182,4260.38,ZAR,2026-03-30,20:15:57,DEPOSIT,Deposit - Ref 261337,MOBILE,COMPLETED,REF7A759FA6DFC6
TX000132,C0983,A0177,16594.74,ZAR,2026-09-04,03:13:51,TRANSFER,Transfer - Ref 417303,BRANCH,COMPLETED,REFE21944D4BEE5
TX000133,C0654,A0478,588.79,ZAR,2026-03-31,16:45:23,DEBIT_ORDER,Debit Order - Ref 595967,ONLINE,COMPLETED,REF459408F0E7A2
TX000134,C0053,A1405,3462.6,ZAR,2026-07-02,14:27:34,INTEREST,Interest - Ref 536218,ONLINE,COMPLETED,REFFA83462DBE2E
TX000135,C0359,A0595,1328.1,ZAR,2024-04-28,03:09:01,DEPOSIT,Deposit - Ref 910834,ONLINE,COMPLETED,REF90D2194425BD
TX000136,C0748,A1426,402.72,ZAR,2025-05-29,02:14:02,WITHDRAWAL,Withdrawal - Ref 196748,ONLINE,COMPLETED,REF9FBEF0E8C1B7
TX000137,C0195,A1148,3289.47,ZAR,2024-06-15,19:33:38,PAYMENT,Payment - Ref 153204,MOBILE,COMPLETED,REFBAB56EF1C5BE
TX000138,C0625,A1457,2960.54,ZAR,2025-08-15,12:43:26,TRANSFER,Transfer - Ref 416689,ATM,COMPLETED,REF5BEC9DA0F970
TX000139,C0669,A0240,816.77,ZAR,2025-11-23,18:55:37,TRANSFER,Transfer - Ref 137853,MOBILE,COMPLETED,REF4029CD9C5FC7
TX000140,C0262,A0445,1111.28,ZAR,2024-11-24,12:35:46,WITHDRAWAL,Withdrawal - Ref 956309,BRANCH,COMPLETED,REFD60430F5F2D3
TX000141,C0192,A0311,732.95,ZAR,2026-02-17,13:56:55,WITHDRAWAL,Withdrawal - Ref 756445,MOBILE,COMPLETED,REF3A2D3E86446F
TX000142,C0994,A0616,7730.8,ZAR,2026-07-22,15:05:00,TRANSFER,Transfer - Ref 999948,BRANCH,COMPLETED,REF972A85B8E242
TX000143,C0686,A1154,630.76,ZAR,2025-09-25,03:56:32,TRANSFER,Transfer - Ref 931713,ATM,COMPLETED,REFE5C6AF87F112
TX000144,C0491,A0658,740.11,ZAR,2024-04-24,07:46:13,PAYMENT,Payment - Ref 919694,ONLINE,COMPLETED,REF67A1F00A696D
TX000145,C0107,A0510,685.04,ZAR,2026-09-02,08:37:23,DEBIT_ORDER,Debit Order - Ref 550738,ONLINE,COMPLETED,REF4B2CE20BB2CB
TX000146,C0387,A0525,38508.84,ZAR,2024-12-19,01:52:45,REVERSAL,Reversal - Ref 620021,MOBILE,COMPLETED,REFB8F07A3DBCF9
TX000147,C0051,A0315,355.21,ZAR,2025-10-30,14:09:14,FEE,Fee - Ref 178896,ATM,COMPLETED,REF9A0AE0A1D207
TX000148,C0017,A0428,201.29,ZAR,2025-02-07,00:53:12,TRANSFER,Transfer - Ref 794300,MOBILE,COMPLETED,REFEA9D419B88E0
TX000149,C0802,A1492,2819.12,ZAR,2024-04-05,20:54:42,TRANSFER,Transfer - Ref 880510,POS,COMPLETED,REFF6A4917E48F3
TX000150,,A1414,48828.86,ZAR,2024-02-01,06:48:54,REVERSAL,Reversal - Ref 701181,MOBILE,COMPLETED,REF9C36662D612C
TX000151,C0614,A0422,1500.07,ZAR,2025-03-10,12:55:29,PAYMENT,Payment - Ref 123813,ONLINE,COMPLETED,REF88E7CA43574D
TX000152,C0297,A0576,4570.85,ZAR,2026-06-02,12:25:43,INTEREST,Interest - Ref 733964,ONLINE,COMPLETED,REFC2F6A4CEBBD5
TX000153,C0511,A0508,668.55,ZAR,2025-12-07,14:03:01,WITHDRAWAL,Withdrawal - Ref 617107,ONLINE,COMPLETED,REF850526F1DFAE
TX000154,C0675,A1071,827.57,ZAR,2026-03-11,00:37:31,PAYMENT,Payment - Ref 168892,ONLINE,COMPLETED,REF79D9CA28C171
TX000155,C0880,A0862,161.52,ZAR,2024-09-12,05:13:19,WITHDRAWAL,Withdrawal - Ref 325960,ATM,COMPLETED,REF53147A6D3172
TX000156,C0365,A0832,445.33,ZAR,2026-03-07,15:18:18,FEE,Fee - Ref 829646,MOBILE,COMPLETED,REF9A02F9DA0688
TX000157,C0749,A0395,1957.37,ZAR,2024-09-06,14:21:38,DEPOSIT,Deposit - Ref 867776,ONLINE,COMPLETED,REF6695F18E6C47
TX000158,C0993,A0382,2116.01,ZAR,2025-06-21,10:58:34,DEPOSIT,Deposit - Ref 979196,BRANCH,COMPLETED,REFE51ED02C9225
TX000159,C0547,A1128,372.63,ZAR,2024-12-30,10:55:07,FEE,Fee - Ref 321850,MOBILE,COMPLETED,REF8FE924157E3D
TX000160,,A1180,3910.8,ZAR,2026-09-13,06:58:19,INTEREST,Interest - Ref 644609,ATM,COMPLETED,REF3AB01A8DF4EA
TX000161,C0067,A0482,2483.09,ZAR,2025-07-28,06:35:45,INTEREST,Interest - Ref 612794,ONLINE,COMPLETED,REFE0B29F8C7ED1
TX000162,C0731,A1301,298.19,ZAR,2024-05-28,07:34:01,WITHDRAWAL,Withdrawal - Ref 134122,ONLINE,COMPLETED,REF4375C9B08B9F
TX000163,C0985,A0523,18236.41,ZAR,2024-11-14,13:26:57,REVERSAL,Reversal - Ref 938402,ONLINE,COMPLETED,REFB038C7114552
TX000164,C0905,A0983,903.66,ZAR,2024-04-10,12:14:31,DEBIT_ORDER,Debit Order - Ref 903968,ONLINE,COMPLETED,REF832500DB6E8C
TX000165,C0431,A0467,3314.55,ZAR,2025-04-13,10:22:56,TRANSFER,Transfer - Ref 276849,MOBILE,COMPLETED,REF73D2A57FB0F4
TX000166,C0317,A0077,30616.03,ZAR,2024-09-23,11:32:19,TRANSFER,Transfer - Ref 105107,MOBILE,COMPLETED,REF90C024BF924A
TX000167,C0829,A0552,1352.21,ZAR,2026-03-29,02:23:28,DEBIT_ORDER,Debit Order - Ref 286921,MOBILE,COMPLETED,REF15170E318797
TX000168,C0625,A1457,860.53,ZAR,2025-12-20,12:57:04,WITHDRAWAL,Withdrawal - Ref 176222,MOBILE,COMPLETED,REFE515BBFFC10B
TX000169,C0415,A0209,1002.91,ZAR,2025-01-30,00:55:12,DEBIT_ORDER,Debit Order - Ref 493270,ONLINE,COMPLETED,REFF6B65C554A38
TX000170,C0353,A0341,3745.09,ZAR,2024-01-23,10:21:21,INTEREST,Interest - Ref 843731,MOBILE,COMPLETED,REF74095C3A4A59
TX000171,C0884,A0719,109.67,ZAR,2024-06-28,23:25:32,DEBIT_ORDER,Debit Order - Ref 358787,MOBILE,COMPLETED,REFF1D849D6838C
TX000172,,A0475,22631.25,ZAR,2024-09-30,00:12:18,REVERSAL,Reversal - Ref 938122,BRANCH,COMPLETED,REF4CDBF50B2100
TX000173,C0481,A0645,1062.29,ZAR,2024-12-12,18:22:43,DEBIT_ORDER,Debit Order - Ref 530200,ATM,COMPLETED,REFB02582B88F71
TX000174,C0391,A0473,1178.83,ZAR,2026-05-21,02:05:38,PAYMENT,Payment - Ref 533756,MOBILE,COMPLETED,REF83B988F332EC
TX000175,C0089,A1017,35004.86,ZAR,2026-09-06,07:33:24,DEPOSIT,Deposit - Ref 938715,MOBILE,PENDING,REF2F0F89CE1315
TX000176,C0506,A1407,2459.32,ZAR,2025-12-08,03:41:54,DEPOSIT,Deposit - Ref 862082,POS,COMPLETED,REF74E8DC916785
